"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","22 May 2020","9067.90","9149.60","8968.55","9039.25"
"NIFTY 50","21 May 2020","9079.45","9178.55","9056.10","9106.25"
"NIFTY 50","20 May 2020","8889.15","9093.80","8875.35","9066.55"
"NIFTY 50","19 May 2020","8961.70","9030.35","8855.30","8879.10"
"NIFTY 50","18 May 2020","9158.30","9158.30","8806.75","8823.25"
"NIFTY 50","15 May 2020","9182.40","9182.40","9050.00","9136.85"
"NIFTY 50","14 May 2020","9213.95","9281.10","9119.75","9142.75"
"NIFTY 50","13 May 2020","9584.20","9584.50","9351.10","9383.55"
"NIFTY 50","12 May 2020","9168.85","9240.85","9043.95","9196.55"
"NIFTY 50","11 May 2020","9348.15","9439.90","9219.95","9239.20"
"NIFTY 50","08 May 2020","9376.95","9382.65","9238.20","9251.50"
"NIFTY 50","07 May 2020","9234.05","9277.85","9175.90","9199.05"
"NIFTY 50","06 May 2020","9226.80","9346.90","9116.50","9270.90"
"NIFTY 50","05 May 2020","9429.40","9450.90","9190.75","9205.60"
"NIFTY 50","04 May 2020","9533.50","9533.50","9266.95","9293.50"
"NIFTY 50","30 Apr 2020","9753.50","9889.05","9731.50","9859.90"
"NIFTY 50","29 Apr 2020","9408.60","9599.85","9392.35","9553.35"
"NIFTY 50","28 Apr 2020","9389.80","9404.40","9260.00","9380.90"
"NIFTY 50","27 Apr 2020","9259.70","9377.10","9250.35","9282.30"
"NIFTY 50","24 Apr 2020","9163.90","9296.90","9141.30","9154.40"
"NIFTY 50","23 Apr 2020","9232.35","9343.60","9170.15","9313.90"
"NIFTY 50","22 Apr 2020","9026.75","9209.75","8946.25","9187.30"
"NIFTY 50","21 Apr 2020","9016.95","9044.40","8909.40","8981.45"
"NIFTY 50","20 Apr 2020","9390.20","9390.85","9230.80","9261.85"
"NIFTY 50","17 Apr 2020","9323.45","9324.00","9091.35","9266.75"
"NIFTY 50","16 Apr 2020","8851.25","9053.75","8821.90","8992.80"
"NIFTY 50","15 Apr 2020","9196.40","9261.20","8874.10","8925.30"
"NIFTY 50","13 Apr 2020","9103.95","9112.05","8912.40","8993.85"
"NIFTY 50","09 Apr 2020","8973.05","9128.35","8904.55","9111.90"
"NIFTY 50","08 Apr 2020","8688.90","9131.70","8653.90","8748.75"
"NIFTY 50","07 Apr 2020","8446.30","8819.40","8360.95","8792.20"
"NIFTY 50","03 Apr 2020","8356.55","8356.55","8055.80","8083.80"
"NIFTY 50","01 Apr 2020","8584.10","8588.10","8198.35","8253.80"
"NIFTY 50","31 Mar 2020","8529.35","8678.30","8358.00","8597.75"
"NIFTY 50","30 Mar 2020","8385.95","8576.00","8244.00","8281.10"
"NIFTY 50","27 Mar 2020","8949.10","9038.90","8522.90","8660.25"
"NIFTY 50","26 Mar 2020","8451.00","8749.05","8304.90","8641.45"
"NIFTY 50","25 Mar 2020","7735.15","8376.75","7714.75","8317.85"
"NIFTY 50","24 Mar 2020","7848.30","8036.95","7511.10","7801.05"
"NIFTY 50","23 Mar 2020","7945.70","8159.25","7583.60","7610.25"
"NIFTY 50","20 Mar 2020","8284.45","8883.00","8178.20","8745.45"
"NIFTY 50","19 Mar 2020","8063.30","8575.45","7832.55","8263.45"
"NIFTY 50","18 Mar 2020","9088.45","9127.55","8407.05","8468.80"
"NIFTY 50","17 Mar 2020","9285.40","9403.80","8915.60","8967.05"
"NIFTY 50","16 Mar 2020","9587.80","9602.20","9165.10","9197.40"
"NIFTY 50","13 Mar 2020","9107.60","10159.40","8555.15","9955.20"
"NIFTY 50","12 Mar 2020","10039.95","10040.75","9508.00","9590.15"
"NIFTY 50","11 Mar 2020","10334.30","10545.10","10334.00","10458.40"
"NIFTY 50","09 Mar 2020","10742.05","10751.55","10294.45","10451.45"
"NIFTY 50","06 Mar 2020","10942.65","11035.10","10827.40","10989.45"
"NIFTY 50","05 Mar 2020","11306.05","11389.50","11244.60","11269.00"
"NIFTY 50","04 Mar 2020","11351.35","11356.60","11082.15","11251.00"
"NIFTY 50","03 Mar 2020","11217.55","11342.25","11152.55","11303.30"
"NIFTY 50","02 Mar 2020","11387.35","11433.00","11036.25","11132.75"
"NIFTY 50","28 Feb 2020","11382.00","11384.80","11175.05","11201.75"
"NIFTY 50","27 Feb 2020","11661.25","11663.85","11536.70","11633.30"
"NIFTY 50","26 Feb 2020","11738.55","11783.25","11639.60","11678.50"
"NIFTY 50","25 Feb 2020","11877.50","11883.05","11779.90","11797.90"
"NIFTY 50","24 Feb 2020","12012.55","12012.55","11813.40","11829.40"
"NIFTY 50","20 Feb 2020","12119.00","12152.00","12071.45","12080.85"
"NIFTY 50","19 Feb 2020","12090.60","12134.70","12042.10","12125.90"
"NIFTY 50","18 Feb 2020","12028.25","12030.75","11908.05","11992.50"
"NIFTY 50","17 Feb 2020","12131.80","12159.60","12037.00","12045.80"
"NIFTY 50","14 Feb 2020","12190.15","12246.70","12091.20","12113.45"
"NIFTY 50","13 Feb 2020","12219.55","12225.65","12139.80","12174.65"
"NIFTY 50","12 Feb 2020","12151.00","12231.75","12144.30","12201.20"
"NIFTY 50","11 Feb 2020","12108.40","12172.30","12099.00","12107.90"
"NIFTY 50","10 Feb 2020","12102.35","12103.55","11990.75","12031.50"
"NIFTY 50","07 Feb 2020","12151.15","12154.70","12073.95","12098.35"
"NIFTY 50","06 Feb 2020","12120.00","12160.60","12084.65","12137.95"
"NIFTY 50","05 Feb 2020","12005.85","12098.15","11953.35","12089.15"
"NIFTY 50","04 Feb 2020","11786.25","11986.15","11783.40","11979.65"
"NIFTY 50","03 Feb 2020","11627.45","11749.85","11614.50","11707.90"
"NIFTY 50","01 Feb 2020","11939.00","12017.35","11633.30","11661.85"
"NIFTY 50","31 Jan 2020","12100.40","12103.55","11945.85","11962.10"
"NIFTY 50","30 Jan 2020","12147.75","12150.30","12010.60","12035.80"
"NIFTY 50","29 Jan 2020","12114.90","12169.60","12103.80","12129.50"
"NIFTY 50","28 Jan 2020","12148.10","12163.55","12024.50","12055.80"
"NIFTY 50","27 Jan 2020","12197.10","12216.60","12107.00","12119.00"
"NIFTY 50","24 Jan 2020","12174.55","12272.15","12149.65","12248.25"
"NIFTY 50","23 Jan 2020","12123.75","12189.00","12094.10","12180.35"
"NIFTY 50","22 Jan 2020","12218.35","12225.05","12087.90","12106.90"
"NIFTY 50","21 Jan 2020","12195.30","12230.05","12162.30","12169.85"
"NIFTY 50","20 Jan 2020","12430.50","12430.50","12216.90","12224.55"
"NIFTY 50","17 Jan 2020","12328.40","12385.45","12321.40","12352.35"
"NIFTY 50","16 Jan 2020","12347.10","12389.05","12315.80","12355.50"
"NIFTY 50","15 Jan 2020","12349.40","12355.15","12278.75","12343.30"
"NIFTY 50","14 Jan 2020","12333.10","12374.25","12308.70","12362.30"
"NIFTY 50","13 Jan 2020","12296.70","12337.75","12285.80","12329.55"
"NIFTY 50","10 Jan 2020","12271.00","12311.20","12213.20","12256.80"
"NIFTY 50","09 Jan 2020","12153.15","12224.05","12132.55","12215.90"
"NIFTY 50","08 Jan 2020","11939.10","12044.95","11929.60","12025.35"
"NIFTY 50","07 Jan 2020","12079.10","12152.15","12005.35","12052.95"
"NIFTY 50","06 Jan 2020","12170.60","12179.10","11974.20","11993.05"
