"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","24 May 2019","11748.00","11859.00","11658.10","11844.10"
"NIFTY 50","23 May 2019","11901.30","12041.15","11614.50","11657.05"
"NIFTY 50","22 May 2019","11727.95","11784.80","11682.40","11737.90"
"NIFTY 50","21 May 2019","11863.65","11883.55","11682.80","11709.10"
"NIFTY 50","20 May 2019","11651.90","11845.20","11591.70","11828.25"
"NIFTY 50","17 May 2019","11261.90","11426.15","11259.85","11407.15"
"NIFTY 50","16 May 2019","11180.35","11281.55","11143.35","11257.10"
"NIFTY 50","15 May 2019","11271.70","11286.80","11136.95","11157.00"
"NIFTY 50","14 May 2019","11151.65","11294.75","11108.30","11222.05"
"NIFTY 50","13 May 2019","11258.70","11300.20","11125.60","11148.20"
"NIFTY 50","10 May 2019","11314.15","11345.80","11251.05","11278.90"
"NIFTY 50","09 May 2019","11322.40","11357.60","11255.05","11301.80"
"NIFTY 50","08 May 2019","11478.70","11479.10","11346.95","11359.45"
"NIFTY 50","07 May 2019","11651.50","11657.05","11484.45","11497.90"
"NIFTY 50","06 May 2019","11605.80","11632.55","11571.35","11598.25"
"NIFTY 50","03 May 2019","11722.60","11770.90","11699.35","11712.25"
"NIFTY 50","02 May 2019","11725.55","11789.30","11699.55","11724.75"
"NIFTY 50","30 Apr 2019","11748.75","11756.25","11655.90","11748.15"
"NIFTY 50","26 Apr 2019","11683.75","11762.90","11661.75","11754.65"
"NIFTY 50","25 Apr 2019","11735.70","11796.75","11624.30","11641.80"
"NIFTY 50","24 Apr 2019","11601.50","11740.85","11578.85","11726.15"
"NIFTY 50","23 Apr 2019","11612.95","11645.95","11564.80","11575.95"
"NIFTY 50","22 Apr 2019","11727.05","11727.05","11583.95","11594.45"
"NIFTY 50","18 Apr 2019","11856.15","11856.15","11738.50","11752.80"
"NIFTY 50","16 Apr 2019","11736.20","11810.95","11731.55","11787.15"
"NIFTY 50","15 Apr 2019","11667.00","11704.60","11648.25","11690.35"
"NIFTY 50","12 Apr 2019","11612.85","11657.35","11578.80","11643.45"
"NIFTY 50","11 Apr 2019","11592.55","11606.70","11550.55","11596.70"
"NIFTY 50","10 Apr 2019","11646.85","11680.05","11571.75","11584.30"
"NIFTY 50","09 Apr 2019","11612.05","11683.90","11569.70","11671.95"
"NIFTY 50","08 Apr 2019","11704.35","11710.30","11549.10","11604.50"
