"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 150","30 Dec 2022","11901.80","11945.90","11862.70","11885.75"
"NIFTY MIDCAP 150","29 Dec 2022","11773.85","11853.70","11695.25","11829.25"
"NIFTY MIDCAP 150","28 Dec 2022","11775.40","11837.95","11711.70","11812.20"
"NIFTY MIDCAP 150","27 Dec 2022","11741.25","11804.85","11673.80","11774.15"
"NIFTY MIDCAP 150","26 Dec 2022","11385.10","11688.75","11291.45","11665.30"
"NIFTY MIDCAP 150","23 Dec 2022","11685.75","11711.15","11360.05","11383.05"
"NIFTY MIDCAP 150","22 Dec 2022","11960.05","11996.50","11715.75","11797.05"
"NIFTY MIDCAP 150","21 Dec 2022","12141.20","12189.70","11881.85","11908.15"
"NIFTY MIDCAP 150","20 Dec 2022","12100.25","12120.90","11994.90","12098.55"
"NIFTY MIDCAP 150","19 Dec 2022","12083.80","12126.30","12001.55","12118.95"
"NIFTY MIDCAP 150","16 Dec 2022","12191.35","12226.20","12028.40","12061.25"
"NIFTY MIDCAP 150","15 Dec 2022","12352.60","12378.55","12210.95","12237.90"
"NIFTY MIDCAP 150","14 Dec 2022","12313.40","12374.60","12300.30","12349.70"
"NIFTY MIDCAP 150","13 Dec 2022","12258.00","12277.05","12217.95","12270.45"
"NIFTY MIDCAP 150","12 Dec 2022","12185.15","12227.30","12087.95","12218.95"
"NIFTY MIDCAP 150","09 Dec 2022","12294.45","12323.00","12090.30","12181.60"
"NIFTY MIDCAP 150","08 Dec 2022","12210.55","12246.05","12175.75","12237.05"
"NIFTY MIDCAP 150","07 Dec 2022","12259.25","12273.95","12159.90","12178.85"
"NIFTY MIDCAP 150","06 Dec 2022","12280.85","12296.95","12217.85","12239.30"
"NIFTY MIDCAP 150","05 Dec 2022","12331.50","12332.10","12244.85","12298.50"
"NIFTY MIDCAP 150","02 Dec 2022","12199.05","12297.50","12188.60","12289.60"
"NIFTY MIDCAP 150","01 Dec 2022","12158.40","12209.80","12122.30","12185.25"
"NIFTY MIDCAP 150","30 Nov 2022","11998.45","12121.65","11997.40","12093.50"
"NIFTY MIDCAP 150","29 Nov 2022","12030.85","12053.70","11965.60","11983.10"
"NIFTY MIDCAP 150","28 Nov 2022","11950.15","12037.00","11944.25","12025.95"
"NIFTY MIDCAP 150","25 Nov 2022","11865.55","11953.80","11862.70","11943.55"
"NIFTY MIDCAP 150","24 Nov 2022","11832.05","11842.55","11806.45","11837.60"
"NIFTY MIDCAP 150","23 Nov 2022","11799.55","11818.85","11773.45","11790.20"
"NIFTY MIDCAP 150","22 Nov 2022","11743.50","11771.65","11726.30","11762.55"
"NIFTY MIDCAP 150","21 Nov 2022","11719.00","11744.45","11681.85","11719.55"
"NIFTY MIDCAP 150","18 Nov 2022","11799.15","11810.65","11653.35","11719.95"
"NIFTY MIDCAP 150","17 Nov 2022","11807.10","11813.60","11742.65","11767.05"
"NIFTY MIDCAP 150","16 Nov 2022","11903.90","11929.95","11777.70","11816.55"
"NIFTY MIDCAP 150","15 Nov 2022","11904.15","11923.10","11861.75","11888.25"
"NIFTY MIDCAP 150","14 Nov 2022","11899.60","11930.70","11830.20","11893.60"
"NIFTY MIDCAP 150","11 Nov 2022","12008.85","12045.00","11880.65","11898.55"
"NIFTY MIDCAP 150","10 Nov 2022","11963.80","11976.80","11835.20","11881.95"
"NIFTY MIDCAP 150","09 Nov 2022","12115.90","12117.55","11973.65","11991.25"
"NIFTY MIDCAP 150","07 Nov 2022","12038.40","12076.75","12006.05","12066.05"
"NIFTY MIDCAP 150","04 Nov 2022","12005.10","12035.35","11950.70","11978.15"
"NIFTY MIDCAP 150","03 Nov 2022","11914.35","11997.60","11909.20","11984.75"
"NIFTY MIDCAP 150","02 Nov 2022","11975.15","12014.30","11944.05","11965.65"
"NIFTY MIDCAP 150","01 Nov 2022","11905.35","11981.10","11899.00","11967.90"
"NIFTY MIDCAP 150","31 Oct 2022","11767.25","11874.45","11766.50","11868.15"
"NIFTY MIDCAP 150","28 Oct 2022","11813.40","11823.45","11689.75","11715.55"
"NIFTY MIDCAP 150","27 Oct 2022","11758.20","11805.85","11740.90","11791.80"
"NIFTY MIDCAP 150","25 Oct 2022","11718.30","11750.65","11641.00","11718.90"
"NIFTY MIDCAP 150","24 Oct 2022","11761.90","11762.00","11691.25","11703.00"
"NIFTY MIDCAP 150","21 Oct 2022","11733.35","11770.75","11603.05","11637.60"
"NIFTY MIDCAP 150","20 Oct 2022","11685.15","11717.65","11616.50","11706.15"
"NIFTY MIDCAP 150","19 Oct 2022","11761.80","11791.65","11715.00","11737.90"
"NIFTY MIDCAP 150","18 Oct 2022","11689.35","11737.80","11645.40","11727.75"
"NIFTY MIDCAP 150","17 Oct 2022","11561.85","11626.70","11472.80","11611.65"
"NIFTY MIDCAP 150","14 Oct 2022","11751.80","11777.65","11579.70","11591.65"
"NIFTY MIDCAP 150","13 Oct 2022","11677.65","11695.75","11558.15","11599.70"
"NIFTY MIDCAP 150","12 Oct 2022","11642.60","11688.15","11529.55","11672.45"
"NIFTY MIDCAP 150","11 Oct 2022","11829.75","11832.00","11581.10","11607.00"
"NIFTY MIDCAP 150","10 Oct 2022","11778.35","11831.20","11727.60","11796.05"
"NIFTY MIDCAP 150","07 Oct 2022","11944.45","11953.75","11826.10","11903.05"
"NIFTY MIDCAP 150","06 Oct 2022","11878.80","11963.80","11875.65","11933.35"
"NIFTY MIDCAP 150","04 Oct 2022","11692.10","11803.30","11656.70","11794.35"
"NIFTY MIDCAP 150","03 Oct 2022","11658.95","11694.30","11481.05","11533.35"
