"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 150","31 Dec 2024","21015","21187.05","20864.95","21141.20"
"NIFTY MIDCAP 150","30 Dec 2024","21067.25","21170.6","20921.85","21109.25"
"NIFTY MIDCAP 150","27 Dec 2024","21143.05","21179.2","21059.25","21071.85"
"NIFTY MIDCAP 150","26 Dec 2024","21108.05","21150.4","20937.05","21096.85"
"NIFTY MIDCAP 150","24 Dec 2024","21100.6","21160.9","20959.15","21080.70"
"NIFTY MIDCAP 150","23 Dec 2024","21144.65","21197","20933","21076.15"
"NIFTY MIDCAP 150","20 Dec 2024","21638.95","21665.3","21017.7","21050.60"
"NIFTY MIDCAP 150","19 Dec 2024","21267.3","21588.55","21247.9","21571.30"
"NIFTY MIDCAP 150","18 Dec 2024","21756.6","21770.1","21531.75","21623.10"
"NIFTY MIDCAP 150","17 Dec 2024","21904.75","21960.25","21724.7","21754.10"
"NIFTY MIDCAP 150","16 Dec 2024","21805.45","21914.65","21794.5","21898.80"
"NIFTY MIDCAP 150","13 Dec 2024","21722.65","21762.15","21411.7","21748.10"
"NIFTY MIDCAP 150","12 Dec 2024","21907.5","21917.55","21744.15","21770.05"
"NIFTY MIDCAP 150","11 Dec 2024","21825.55","21898.85","21807.8","21879.55"
"NIFTY MIDCAP 150","10 Dec 2024","21774.5","21824","21703.95","21809.10"
"NIFTY MIDCAP 150","09 Dec 2024","21661","21774.85","21646.5","21748.50"
"NIFTY MIDCAP 150","06 Dec 2024","21622.55","21686.95","21532.65","21665.40"
"NIFTY MIDCAP 150","05 Dec 2024","21595.8","21602.75","21431","21577.65"
"NIFTY MIDCAP 150","04 Dec 2024","21368.1","21500.05","21327.75","21485.15"
"NIFTY MIDCAP 150","03 Dec 2024","21228.05","21303.75","21193","21291.35"
"NIFTY MIDCAP 150","02 Dec 2024","20911.05","21126.45","20849.65","21105.95"
"NIFTY MIDCAP 150","29 Nov 2024","20860.05","20941.1","20792.7","20906.65"
"NIFTY MIDCAP 150","28 Nov 2024","20885.65","21001.3","20794.2","20839.90"
"NIFTY MIDCAP 150","27 Nov 2024","20794.4","20849.85","20650.15","20838.20"
"NIFTY MIDCAP 150","26 Nov 2024","20799.65","20880.8","20718.4","20735.10"
"NIFTY MIDCAP 150","25 Nov 2024","20742.9","20833.1","20706.2","20725.70"
"NIFTY MIDCAP 150","22 Nov 2024","20208.6","20427","20171.2","20412.65"
"NIFTY MIDCAP 150","21 Nov 2024","20247.25","20270.4","20014.25","20180.90"
"NIFTY MIDCAP 150","19 Nov 2024","20143.5","20429.2","20142.4","20258.10"
"NIFTY MIDCAP 150","18 Nov 2024","20181.8","20213.9","19936.85","20068.55"
"NIFTY MIDCAP 150","14 Nov 2024","20033.45","20247.2","20030.4","20105.25"
"NIFTY MIDCAP 150","13 Nov 2024","20478.7","20506.7","19955.75","20010.75"
"NIFTY MIDCAP 150","12 Nov 2024","20825.25","20935.45","20507.4","20560.60"
"NIFTY MIDCAP 150","11 Nov 2024","20871","20923.75","20714.45","20749.95"
"NIFTY MIDCAP 150","08 Nov 2024","21229.85","21235","20870.15","20919.90"
"NIFTY MIDCAP 150","07 Nov 2024","21388.15","21434.75","21173.45","21194.85"
"NIFTY MIDCAP 150","06 Nov 2024","20972.9","21324.2","20945.9","21298.50"
"NIFTY MIDCAP 150","05 Nov 2024","20737.2","20882.75","20563.7","20862.10"
"NIFTY MIDCAP 150","04 Nov 2024","21042.4","21042.4","20663.45","20767.40"
"NIFTY MIDCAP 150","01 Nov 2024","21014.75","21077.6","20993","21021.10"
"NIFTY MIDCAP 150","31 Oct 2024","20919.35","20942.55","20750.35","20876.70"
"NIFTY MIDCAP 150","30 Oct 2024","20836.9","21067.6","20773.3","20916.70"
"NIFTY MIDCAP 150","29 Oct 2024","20779.95","20888.8","20516.85","20867.40"
"NIFTY MIDCAP 150","28 Oct 2024","20575.75","20773.95","20472.2","20695.55"
"NIFTY MIDCAP 150","25 Oct 2024","20983.85","20996.65","20365.8","20563.70"
"NIFTY MIDCAP 150","24 Oct 2024","20987.4","21074.75","20884.15","20932.75"
"NIFTY MIDCAP 150","23 Oct 2024","20846.3","21162.35","20655.85","20985.25"
"NIFTY MIDCAP 150","22 Oct 2024","21436.75","21468.9","20850.45","20879.45"
"NIFTY MIDCAP 150","21 Oct 2024","21807.5","21869.5","21406.2","21429.90"
"NIFTY MIDCAP 150","18 Oct 2024","21625.75","21785.35","21384","21755.65"
