"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 250","31 Dec 2021","9768.55","9852.10","9768.55","9840.00"
"NIFTY SMALLCAP 250","30 Dec 2021","9723.55","9761.50","9700.50","9726.60"
"NIFTY SMALLCAP 250","29 Dec 2021","9678.40","9737.15","9657.55","9712.35"
"NIFTY SMALLCAP 250","28 Dec 2021","9583.55","9663.10","9583.40","9643.80"
"NIFTY SMALLCAP 250","27 Dec 2021","9463.15","9516.00","9361.05","9502.55"
"NIFTY SMALLCAP 250","24 Dec 2021","9573.30","9579.80","9433.50","9466.40"
"NIFTY SMALLCAP 250","23 Dec 2021","9517.70","9556.95","9500.90","9528.15"
"NIFTY SMALLCAP 250","22 Dec 2021","9363.60","9462.95","9360.20","9453.55"
"NIFTY SMALLCAP 250","21 Dec 2021","9256.00","9386.45","9255.75","9299.65"
"NIFTY SMALLCAP 250","20 Dec 2021","9399.50","9408.60","9089.85","9185.10"
"NIFTY SMALLCAP 250","17 Dec 2021","9752.80","9759.10","9500.05","9515.75"
"NIFTY SMALLCAP 250","16 Dec 2021","9908.65","9932.90","9709.30","9737.80"
"NIFTY SMALLCAP 250","15 Dec 2021","9901.25","9937.80","9810.70","9833.55"
"NIFTY SMALLCAP 250","14 Dec 2021","9816.30","9879.80","9772.70","9867.70"
"NIFTY SMALLCAP 250","13 Dec 2021","9916.10","9945.20","9821.85","9837.90"
"NIFTY SMALLCAP 250","10 Dec 2021","9774.80","9852.70","9766.05","9835.90"
"NIFTY SMALLCAP 250","09 Dec 2021","9715.85","9770.05","9657.55","9747.35"
"NIFTY SMALLCAP 250","08 Dec 2021","9597.00","9677.70","9594.65","9658.85"
"NIFTY SMALLCAP 250","07 Dec 2021","9492.10","9536.50","9468.75","9516.95"
"NIFTY SMALLCAP 250","06 Dec 2021","9557.70","9570.40","9382.20","9400.75"
"NIFTY SMALLCAP 250","03 Dec 2021","9509.40","9589.15","9506.95","9519.30"
"NIFTY SMALLCAP 250","02 Dec 2021","9395.50","9480.80","9350.75","9465.85"
"NIFTY SMALLCAP 250","01 Dec 2021","9405.80","9446.80","9294.65","9363.95"
"NIFTY SMALLCAP 250","30 Nov 2021","9168.55","9396.85","9167.95","9336.20"
"NIFTY SMALLCAP 250","29 Nov 2021","9291.20","9320.25","8953.65","9154.20"
"NIFTY SMALLCAP 250","26 Nov 2021","9582.30","9638.15","9373.30","9390.65"
"NIFTY SMALLCAP 250","25 Nov 2021","9617.60","9677.95","9563.40","9670.20"
"NIFTY SMALLCAP 250","24 Nov 2021","9624.05","9677.40","9561.00","9588.15"
"NIFTY SMALLCAP 250","23 Nov 2021","9326.25","9551.15","9273.35","9541.85"
"NIFTY SMALLCAP 250","22 Nov 2021","9654.25","9663.00","9258.50","9362.65"
"NIFTY SMALLCAP 250","18 Nov 2021","9815.15","9837.20","9581.60","9620.55"
"NIFTY SMALLCAP 250","17 Nov 2021","9798.30","9852.70","9762.20","9776.35"
"NIFTY SMALLCAP 250","16 Nov 2021","9788.35","9841.75","9761.90","9784.40"
"NIFTY SMALLCAP 250","15 Nov 2021","9826.90","9831.20","9733.60","9756.25"
"NIFTY SMALLCAP 250","12 Nov 2021","9791.40","9804.10","9718.80","9778.60"
"NIFTY SMALLCAP 250","11 Nov 2021","9806.20","9832.40","9727.45","9745.55"
"NIFTY SMALLCAP 250","10 Nov 2021","9799.10","9865.60","9767.90","9795.95"
"NIFTY SMALLCAP 250","09 Nov 2021","9793.20","9838.80","9779.20","9800.35"
"NIFTY SMALLCAP 250","08 Nov 2021","9742.40","9772.45","9636.55","9760.35"
"NIFTY SMALLCAP 250","04 Nov 2021","9640.50","9691.25","9638.05","9683.85"
"NIFTY SMALLCAP 250","03 Nov 2021","9628.30","9635.20","9524.75","9556.20"
"NIFTY SMALLCAP 250","02 Nov 2021","9522.15","9598.65","9521.70","9588.30"
"NIFTY SMALLCAP 250","01 Nov 2021","9433.50","9491.70","9414.65","9474.95"
"NIFTY SMALLCAP 250","29 Oct 2021","9383.10","9432.35","9217.95","9376.85"
"NIFTY SMALLCAP 250","28 Oct 2021","9582.90","9582.90","9389.00","9408.25"
"NIFTY SMALLCAP 250","27 Oct 2021","9576.75","9605.80","9519.00","9558.30"
"NIFTY SMALLCAP 250","26 Oct 2021","9316.30","9529.95","9315.75","9508.50"
"NIFTY SMALLCAP 250","25 Oct 2021","9511.85","9535.05","9176.95","9284.00"
"NIFTY SMALLCAP 250","22 Oct 2021","9637.60","9670.25","9394.40","9456.90"
"NIFTY SMALLCAP 250","21 Oct 2021","9677.45","9708.95","9506.75","9560.90"
"NIFTY SMALLCAP 250","20 Oct 2021","9828.45","9833.70","9553.45","9627.35"
"NIFTY SMALLCAP 250","19 Oct 2021","10104.25","10129.10","9789.70","9828.90"
