"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 250","30 Dec 2022","9463.85","9533.20","9463.50","9481.25"
"NIFTY SMALLCAP 250","29 Dec 2022","9367.40","9417.25","9329.35","9408.35"
"NIFTY SMALLCAP 250","28 Dec 2022","9381.15","9415.20","9321.75","9397.05"
"NIFTY SMALLCAP 250","27 Dec 2022","9338.25","9419.35","9279.10","9377.05"
"NIFTY SMALLCAP 250","26 Dec 2022","8958.15","9276.55","8894.75","9262.70"
"NIFTY SMALLCAP 250","23 Dec 2022","9283.50","9303.70","8945.35","8962.50"
"NIFTY SMALLCAP 250","22 Dec 2022","9585.50","9625.00","9299.35","9373.85"
"NIFTY SMALLCAP 250","21 Dec 2022","9782.85","9816.60","9507.50","9540.00"
"NIFTY SMALLCAP 250","20 Dec 2022","9758.45","9791.50","9677.55","9741.25"
"NIFTY SMALLCAP 250","19 Dec 2022","9771.50","9791.30","9715.55","9761.45"
"NIFTY SMALLCAP 250","16 Dec 2022","9783.80","9849.10","9695.75","9732.30"
"NIFTY SMALLCAP 250","15 Dec 2022","9861.90","9894.00","9795.90","9810.20"
"NIFTY SMALLCAP 250","14 Dec 2022","9830.80","9875.90","9804.10","9852.65"
"NIFTY SMALLCAP 250","13 Dec 2022","9781.15","9799.95","9761.45","9788.70"
"NIFTY SMALLCAP 250","12 Dec 2022","9687.05","9740.25","9618.90","9733.25"
"NIFTY SMALLCAP 250","09 Dec 2022","9824.75","9837.65","9624.80","9681.80"
"NIFTY SMALLCAP 250","08 Dec 2022","9751.40","9792.80","9745.65","9783.20"
"NIFTY SMALLCAP 250","07 Dec 2022","9788.05","9807.10","9707.70","9729.65"
"NIFTY SMALLCAP 250","06 Dec 2022","9787.90","9813.80","9754.05","9767.50"
"NIFTY SMALLCAP 250","05 Dec 2022","9801.05","9819.75","9771.65","9790.50"
"NIFTY SMALLCAP 250","02 Dec 2022","9710.80","9766.05","9702.25","9758.15"
"NIFTY SMALLCAP 250","01 Dec 2022","9709.05","9738.15","9677.95","9693.85"
"NIFTY SMALLCAP 250","30 Nov 2022","9630.85","9661.15","9617.00","9651.05"
"NIFTY SMALLCAP 250","29 Nov 2022","9658.95","9686.20","9587.75","9602.20"
"NIFTY SMALLCAP 250","28 Nov 2022","9543.55","9643.15","9540.30","9636.60"
"NIFTY SMALLCAP 250","25 Nov 2022","9485.95","9549.55","9483.35","9534.55"
"NIFTY SMALLCAP 250","24 Nov 2022","9441.25","9471.70","9438.85","9461.30"
"NIFTY SMALLCAP 250","23 Nov 2022","9387.70","9425.60","9386.15","9410.00"
"NIFTY SMALLCAP 250","22 Nov 2022","9380.50","9390.45","9343.35","9355.35"
"NIFTY SMALLCAP 250","21 Nov 2022","9365.85","9397.30","9339.60","9363.65"
"NIFTY SMALLCAP 250","18 Nov 2022","9414.85","9429.35","9322.65","9353.50"
"NIFTY SMALLCAP 250","17 Nov 2022","9403.70","9423.65","9382.35","9395.75"
"NIFTY SMALLCAP 250","16 Nov 2022","9451.25","9468.65","9374.20","9407.60"
"NIFTY SMALLCAP 250","15 Nov 2022","9459.20","9463.05","9422.20","9439.00"
"NIFTY SMALLCAP 250","14 Nov 2022","9415.65","9446.10","9369.05","9433.70"
"NIFTY SMALLCAP 250","11 Nov 2022","9455.95","9482.15","9376.05","9391.10"
"NIFTY SMALLCAP 250","10 Nov 2022","9454.40","9481.95","9318.75","9359.50"
"NIFTY SMALLCAP 250","09 Nov 2022","9544.70","9545.00","9456.10","9475.85"
"NIFTY SMALLCAP 250","07 Nov 2022","9491.40","9523.75","9465.45","9512.80"
"NIFTY SMALLCAP 250","04 Nov 2022","9433.25","9452.45","9422.10","9442.10"
"NIFTY SMALLCAP 250","03 Nov 2022","9356.55","9422.50","9349.90","9398.75"
"NIFTY SMALLCAP 250","02 Nov 2022","9401.65","9435.50","9374.75","9386.90"
"NIFTY SMALLCAP 250","01 Nov 2022","9398.80","9419.60","9360.60","9385.30"
"NIFTY SMALLCAP 250","31 Oct 2022","9377.50","9391.75","9354.35","9372.00"
"NIFTY SMALLCAP 250","28 Oct 2022","9413.95","9427.85","9325.60","9337.00"
"NIFTY SMALLCAP 250","27 Oct 2022","9401.90","9417.50","9363.80","9394.45"
"NIFTY SMALLCAP 250","25 Oct 2022","9390.90","9390.90","9313.60","9357.25"
"NIFTY SMALLCAP 250","24 Oct 2022","9384.25","9403.30","9361.95","9374.30"
"NIFTY SMALLCAP 250","21 Oct 2022","9358.30","9383.00","9266.30","9287.35"
