DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Dec-2011,EQ,"119.00","120.00","119.00","119.53","119.00","119.59","119.47","124.50","89.10","4,393","5,24,851.98","14"
29-Dec-2011,EQ,"121.00","121.00","117.10","120.74","120.00","119.53","119.09","124.50","89.10","5,392","6,42,145.60","32"
28-Dec-2011,EQ,"120.50","120.75","117.00","120.80","120.75","120.74","120.19","124.50","89.10","2,323","2,79,210.68","54"
27-Dec-2011,EQ,"118.90","120.95","115.00","116.75","120.95","120.80","118.65","124.50","89.10","2,473","2,93,411.17","48"
26-Dec-2011,EQ,"115.10","116.80","115.10","116.52","116.75","116.75","115.37","124.50","89.10","468","53,993.42","18"
23-Dec-2011,EQ,"118.81","119.95","115.10","118.81","115.10","116.52","118.34","124.50","89.10","516","61,063.52","20"
22-Dec-2011,EQ,"118.90","118.90","115.72","117.29","118.88","118.81","118.86","124.50","89.10","341","40,529.77","10"
21-Dec-2011,EQ,"121.00","124.50","105.80","116.04","117.00","117.29","118.80","124.50","89.10","8,382","9,95,790.78","63"
20-Dec-2011,EQ,"115.00","116.68","113.10","114.86","116.00","116.04","115.00","122.00","89.10","19,600","22,53,992.61","11"
19-Dec-2011,EQ,"115.00","116.98","112.00","115.07","115.00","114.86","114.88","122.00","89.10","5,605","6,43,914.18","34"
16-Dec-2011,EQ,"115.20","120.90","115.00","118.33","115.05","115.07","115.28","122.00","89.10","465","53,607.12","15"
15-Dec-2011,EQ,"115.00","119.00","113.00","117.75","115.50","118.33","117.98","122.00","89.10","30,441","35,91,293.69","49"
14-Dec-2011,EQ,"119.98","119.98","115.07","115.50","116.50","117.75","116.70","122.00","89.10","191","22,288.77","14"
13-Dec-2011,EQ,"119.90","119.90","115.00","115.00","115.50","115.50","116.99","122.00","89.10","6,740","7,88,529.22","21"
12-Dec-2011,EQ,"118.00","118.00","115.00","114.20","117.90","115.00","116.00","122.00","89.10","10,165","11,79,181.53","20"
09-Dec-2011,EQ,"113.00","118.50","111.00","115.95","114.20","114.20","118.16","122.00","89.10","43,659","51,58,702.60","29"
08-Dec-2011,EQ,"116.00","117.00","112.20","115.55","115.95","115.95","115.58","122.00","89.10","358","41,378.19","19"
07-Dec-2011,EQ,"116.10","116.10","114.00","115.99","116.00","115.55","115.43","122.00","89.10","32,473","37,48,454.75","86"
05-Dec-2011,EQ,"117.95","117.95","114.00","114.90","115.99","115.99","115.95","122.00","89.10","128","14,841.34","8"
02-Dec-2011,EQ,"118.99","118.99","113.27","114.99","114.90","114.90","115.02","122.00","89.10","214","24,615.10","18"
01-Dec-2011,EQ,"117.50","117.50","112.62","114.12","115.00","114.99","113.51","122.00","89.10","565","64,133.95","21"
30-Nov-2011,EQ,"115.98","115.98","112.00","113.53","112.00","114.12","114.49","122.00","89.10","445","50,949.41","14"
29-Nov-2011,EQ,"116.00","116.00","112.15","115.93","113.80","113.53","115.39","122.00","89.10","1,905","2,19,826.78","27"
28-Nov-2011,EQ,"113.00","116.00","113.00","111.27","116.00","115.93","115.29","122.00","89.10","3,923","4,52,269.15","58"
25-Nov-2011,EQ,"115.00","115.00","110.00","109.52","110.00","111.27","111.89","122.00","89.10","69","7,720.49","10"
24-Nov-2011,EQ,"113.98","113.98","109.52","113.27","109.52","109.52","111.63","122.00","89.10","610","68,096.95","17"
23-Nov-2011,EQ,"116.10","116.10","111.50","110.60","111.50","113.27","113.90","122.00","89.10","3,999","4,55,488.56","28"
22-Nov-2011,EQ,"116.00","116.00","110.50","112.58","110.50","110.60","113.32","122.00","89.10","3,115","3,53,003.80","42"
21-Nov-2011,EQ,"112.50","114.00","112.00","116.75","112.00","112.58","112.34","122.00","89.10","1,413","1,58,734.00","24"
18-Nov-2011,EQ,"113.00","117.00","112.00","116.00","116.50","116.75","112.27","122.00","89.10","213","23,914.00","14"
17-Nov-2011,EQ,"116.00","118.10","115.20","114.60","116.00","116.00","116.39","122.00","89.10","2,763","3,21,581.30","68"
16-Nov-2011,EQ,"116.00","116.50","113.00","114.00","114.60","114.60","115.32","122.00","89.10","2,041","2,35,359.49","26"
15-Nov-2011,EQ,"112.50","115.49","112.50","113.00","115.49","114.00","114.23","122.00","89.10","5,098","5,82,349.34","60"
14-Nov-2011,EQ,"117.00","117.00","112.50","111.79","113.00","113.00","113.11","122.00","89.10","981","1,10,963.95","16"
11-Nov-2011,EQ,"113.10","113.10","111.75","114.31","111.75","111.79","112.21","122.00","89.10","853","95,717.55","21"
09-Nov-2011,EQ,"113.00","116.00","113.00","113.01","115.49","114.31","114.73","122.00","89.10","1,258","1,44,333.11","17"
08-Nov-2011,EQ,"112.50","114.88","112.50","113.00","113.01","113.01","113.28","122.00","89.10","2,197","2,48,867.73","74"
04-Nov-2011,EQ,"114.00","115.00","112.80","112.71","113.00","113.00","113.01","122.00","89.10","22,815","25,78,307.39","23"
03-Nov-2011,EQ,"111.11","114.85","111.11","109.84","112.00","112.71","111.81","122.00","89.10","74","8,273.91","10"
02-Nov-2011,EQ,"112.00","113.49","109.00","112.00","109.00","109.84","112.54","122.00","89.10","1,12,697","1,26,83,449.94","38"
01-Nov-2011,EQ,"114.50","114.50","110.46","115.48","112.00","112.00","112.17","122.00","89.10","3,390","3,80,241.43","39"
31-Oct-2011,EQ,"116.00","116.00","112.50","114.10","115.48","115.48","113.98","122.00","89.10","15,755","17,95,812.42","30"
28-Oct-2011,EQ,"114.00","117.00","112.20","112.18","113.25","114.10","114.41","122.00","89.10","901","1,03,087.28","34"
26-Oct-2011,EQ,"112.00","115.00","112.00","113.13","115.00","112.18","112.21","122.00","89.10","1,123","1,26,011.90","15"
25-Oct-2011,EQ,"111.00","114.00","110.50","110.00","113.00","113.13","111.17","122.00","89.10","5,863","6,51,796.74","51"
24-Oct-2011,EQ,"111.90","111.95","109.00","110.00","110.00","110.00","110.29","122.00","89.10","1,027","1,13,263.55","27"
21-Oct-2011,EQ,"110.00","110.00","110.00","110.01","110.00","110.00","110.00","122.00","89.10","742","81,620.00","12"
20-Oct-2011,EQ,"111.61","111.61","109.00","111.61","109.00","110.01","110.45","122.00","89.10","19,080","21,07,442.77","38"
19-Oct-2011,EQ,"109.00","111.80","106.50","111.73","110.00","111.61","111.03","122.00","89.10","3,155","3,50,306.57","26"
18-Oct-2011,EQ,"111.00","112.68","109.00","113.22","112.50","111.73","110.32","122.00","89.10","340","37,509.03","28"
17-Oct-2011,EQ,"110.00","115.00","109.27","110.49","113.25","113.22","113.19","122.00","89.10","25,545","28,91,372.42","69"
14-Oct-2011,EQ,"108.00","110.50","108.00","107.00","110.50","110.49","110.41","122.00","89.10","26,214","28,94,244.55","21"
13-Oct-2011,EQ,"107.95","108.50","107.00","108.74","107.00","107.00","107.29","122.00","89.10","1,100","1,18,023.74","29"
