DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Dec-2016,EQ,"361.00","361.74","355.00","356.25","355.00","355.01","357.35","379.00","280.10","551","1,96,899.23","53"
29-Dec-2016,EQ,"352.01","366.99","352.01","359.50","359.00","356.25","359.69","379.00","280.10","1,043","3,75,156.04","57"
28-Dec-2016,EQ,"372.90","375.00","359.00","358.52","359.50","359.50","360.55","379.00","280.10","1,438","5,18,470.78","39"
27-Dec-2016,EQ,"374.00","374.00","357.10","360.80","358.99","358.52","361.39","379.00","280.10","1,474","5,32,685.50","65"
26-Dec-2016,EQ,"364.90","370.00","356.51","360.00","360.00","360.80","363.30","379.00","280.10","750","2,72,476.42","68"
23-Dec-2016,EQ,"362.89","370.00","356.01","357.05","360.00","360.00","360.74","379.00","280.10","631","2,27,628.22","43"
22-Dec-2016,EQ,"363.90","363.90","357.00","357.87","357.00","357.05","359.89","379.00","280.10","1,186","4,26,829.15","48"
21-Dec-2016,EQ,"363.99","365.99","353.51","362.99","357.00","357.87","359.54","379.00","280.10","1,083","3,89,386.63","100"
20-Dec-2016,EQ,"360.00","363.99","358.00","360.01","363.00","362.99","360.79","379.00","280.10","425","1,53,334.31","42"
19-Dec-2016,EQ,"363.97","363.97","357.00","356.43","360.00","360.01","359.53","379.00","280.10","580","2,08,529.17","52"
16-Dec-2016,EQ,"349.00","360.00","349.00","351.37","356.40","356.43","356.11","379.00","280.10","313","1,11,463.19","51"
15-Dec-2016,EQ,"357.00","369.49","345.65","357.18","347.10","351.37","356.01","379.00","280.10","2,940","10,46,657.09","214"
14-Dec-2016,EQ,"370.00","370.00","346.00","368.85","353.15","357.18","364.05","379.00","280.10","1,713","6,23,609.51","159"
13-Dec-2016,EQ,"369.99","376.50","367.00","369.99","367.00","368.85","369.06","379.00","280.10","1,031","3,80,502.11","65"
12-Dec-2016,EQ,"370.00","379.00","361.00","369.00","370.00","369.99","370.85","379.00","280.10","1,055","3,91,242.53","80"
09-Dec-2016,EQ,"368.00","370.00","366.01","366.31","369.00","369.00","368.40","378.00","280.10","1,543","5,68,445.51","54"
08-Dec-2016,EQ,"369.00","369.90","364.00","368.97","366.00","366.31","368.44","378.00","280.10","1,089","4,01,235.31","64"
07-Dec-2016,EQ,"370.00","370.00","360.00","367.00","368.95","368.97","367.47","378.00","280.10","864","3,17,496.15","89"
06-Dec-2016,EQ,"374.74","375.00","366.00","371.74","367.00","367.00","370.00","378.00","280.10","887","3,28,192.65","63"
05-Dec-2016,EQ,"370.00","375.00","366.02","374.32","372.00","371.74","371.77","378.00","280.10","1,860","6,91,486.14","132"
02-Dec-2016,EQ,"374.79","375.00","370.00","367.05","375.00","374.32","372.33","378.00","280.10","1,083","4,03,237.67","72"
01-Dec-2016,EQ,"363.90","378.00","360.00","364.99","367.20","367.05","367.55","378.00","280.10","1,252","4,60,174.08","133"
30-Nov-2016,EQ,"365.00","365.01","360.55","371.30","365.00","364.99","363.97","375.00","280.10","474","1,72,522.56","34"
29-Nov-2016,EQ,"365.00","375.00","356.11","361.35","372.00","371.30","366.92","375.00","280.10","1,506","5,52,583.76","140"
28-Nov-2016,EQ,"355.00","365.00","355.00","350.28","356.00","361.35","359.95","365.00","280.10","904","3,25,396.95","102"
25-Nov-2016,EQ,"354.00","354.99","345.00","353.96","350.00","350.28","352.24","355.00","280.10","1,435","5,05,471.43","81"
24-Nov-2016,EQ,"355.00","355.00","352.00","349.62","354.00","353.96","354.03","355.00","280.10","353","1,24,971.78","39"
23-Nov-2016,EQ,"350.01","353.00","340.75","349.67","350.00","349.62","350.29","353.49","280.10","787","2,75,676.83","88"
22-Nov-2016,EQ,"349.99","353.49","335.52","346.07","350.00","349.67","347.18","353.49","280.10","1,043","3,62,104.49","108"
21-Nov-2016,EQ,"330.00","349.99","325.00","324.24","345.00","346.07","342.84","352.30","280.10","1,823","6,24,988.74","148"
18-Nov-2016,EQ,"320.00","339.09","318.00","316.12","318.00","324.24","327.16","352.30","280.10","993","3,24,868.14","129"
17-Nov-2016,EQ,"325.00","327.00","315.00","320.00","315.00","316.12","319.25","352.30","280.10","628","2,00,490.86","45"
16-Nov-2016,EQ,"320.00","320.00","315.00","319.00","320.00","320.00","319.51","352.30","280.10","493","1,57,519.66","41"
15-Nov-2016,EQ,"319.94","320.00","312.00","316.18","319.00","319.00","318.70","352.30","280.10","1,473","4,69,452.13","98"
11-Nov-2016,EQ,"319.90","323.00","316.00","318.00","316.00","316.18","319.41","352.30","280.10","393","1,25,526.40","39"
10-Nov-2016,EQ,"317.99","319.99","316.00","312.54","318.00","318.00","318.69","352.30","280.10","519","1,65,400.78","66"
09-Nov-2016,EQ,"320.00","329.00","306.55","319.58","310.01","312.54","315.38","352.30","280.10","1,342","4,23,242.50","90"
08-Nov-2016,EQ,"314.50","320.00","311.00","314.50","319.92","319.58","317.62","352.30","280.10","1,049","3,33,178.30","68"
07-Nov-2016,EQ,"320.00","320.00","314.40","315.96","314.50","314.50","317.82","352.30","280.10","1,163","3,69,626.48","70"
04-Nov-2016,EQ,"308.20","319.99","307.50","310.00","317.00","315.96","309.99","352.30","280.10","4,893","15,16,776.78","120"
03-Nov-2016,EQ,"315.00","316.44","309.65","314.50","310.00","310.00","314.46","352.30","280.10","401","1,26,098.45","26"
02-Nov-2016,EQ,"330.10","352.30","309.00","317.38","314.50","314.50","312.35","352.30","280.10","970","3,02,981.77","62"
01-Nov-2016,EQ,"317.99","318.00","312.15","317.06","317.74","317.38","317.04","340.65","280.10","1,287","4,08,027.49","73"
30-Oct-2016,EQ,"312.00","318.00","312.00","317.69","312.02","317.06","316.17","340.65","280.10","1,053","3,32,928.81","36"
28-Oct-2016,EQ,"313.00","318.94","312.00","313.00","317.75","317.69","316.48","340.65","280.10","256","81,018.47","44"
27-Oct-2016,EQ,"319.00","319.00","312.80","318.84","313.00","313.00","315.65","340.65","280.10","149","47,031.90","23"
26-Oct-2016,EQ,"317.99","319.94","315.89","311.41","317.00","318.84","317.41","340.65","280.10","585","1,85,687.06","44"
25-Oct-2016,EQ,"314.50","317.00","310.00","313.99","316.90","311.41","314.02","340.65","280.10","1,470","4,61,607.34","92"
24-Oct-2016,EQ,"317.90","317.90","307.01","313.94","314.00","313.99","312.32","340.65","280.10","1,092","3,41,056.59","89"
21-Oct-2016,EQ,"310.00","315.97","307.25","307.00","313.94","313.94","313.47","340.65","280.10","437","1,36,985.29","63"
20-Oct-2016,EQ,"304.55","310.00","304.50","306.69","307.00","307.00","308.24","340.65","280.10","486","1,49,805.89","65"
19-Oct-2016,EQ,"315.98","316.97","302.11","314.99","306.10","306.69","308.25","340.65","280.10","3,126","9,63,574.98","145"
18-Oct-2016,EQ,"313.88","314.99","310.12","314.90","314.99","314.99","313.78","340.65","280.10","941","2,95,262.90","55"
17-Oct-2016,EQ,"316.99","316.99","308.50","315.12","314.90","314.90","314.99","340.65","280.10","1,166","3,67,272.69","103"
14-Oct-2016,EQ,"313.99","315.89","308.57","312.19","315.89","315.12","313.26","340.65","280.10","1,238","3,87,817.28","106"
13-Oct-2016,EQ,"313.99","314.99","307.50","314.48","308.20","312.19","312.38","340.65","280.10","1,100","3,43,622.71","90"
10-Oct-2016,EQ,"313.99","314.99","310.62","307.17","314.49","314.48","314.01","340.65","280.10","827","2,59,685.69","69"
07-Oct-2016,EQ,"316.00","319.80","305.21","313.90","307.10","307.17","310.38","340.65","280.10","2,352","7,30,003.46","202"
06-Oct-2016,EQ,"312.00","313.99","310.00","311.55","313.90","313.90","312.15","340.65","280.10","493","1,53,892.27","37"
05-Oct-2016,EQ,"314.00","314.99","305.50","310.00","311.60","311.55","309.75","340.65","280.10","1,401","4,33,962.80","127"
04-Oct-2016,EQ,"313.50","313.50","307.20","310.55","310.00","310.00","311.57","340.65","280.10","1,165","3,62,973.49","76"
03-Oct-2016,EQ,"305.99","311.90","304.03","304.03","308.50","310.55","309.18","340.65","280.10","1,496","4,62,527.97","151"
30-Sep-2016,EQ,"309.50","309.89","296.51","307.10","304.50","304.03","300.10","340.65","278.03","4,215","12,64,939.12","303"
29-Sep-2016,EQ,"309.85","309.85","303.05","310.00","308.89","307.10","305.98","340.65","278.03","1,051","3,21,589.11","87"
28-Sep-2016,EQ,"306.00","310.00","300.32","305.18","310.00","310.00","307.13","340.65","278.03","783","2,40,481.86","66"
27-Sep-2016,EQ,"314.95","314.95","304.00","305.92","306.90","305.18","305.65","340.65","278.03","1,739","5,31,528.09","58"
26-Sep-2016,EQ,"310.00","313.97","305.00","310.00","305.00","305.92","308.64","340.65","278.03","1,835","5,66,349.78","75"
23-Sep-2016,EQ,"312.99","314.99","306.90","309.46","310.00","310.00","311.35","340.65","272.30","2,440","7,59,686.31","78"
22-Sep-2016,EQ,"310.00","313.00","307.05","309.99","309.55","309.46","310.36","340.65","272.30","1,132","3,51,331.96","58"
