DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2018,EQ,"440.00","449.00","434.00","437.86","439.50","438.19","438.64","655.89","410.00","11,279","49,47,457.97","302"
28-Dec-2018,EQ,"432.20","445.00","432.10","432.06","438.00","437.86","437.32","655.89","410.00","13,130","57,42,051.12","374"
27-Dec-2018,EQ,"417.00","436.40","417.00","416.11","433.00","432.06","432.12","655.89","410.00","14,635","63,24,081.79","345"
26-Dec-2018,EQ,"425.00","425.00","410.00","424.23","417.99","416.11","413.93","655.89","410.00","18,466","76,43,683.41","901"
24-Dec-2018,EQ,"428.05","431.98","420.01","427.05","424.50","424.23","423.23","655.89","420.01","13,189","55,82,013.38","745"
21-Dec-2018,EQ,"447.95","447.95","425.00","444.42","431.00","427.05","431.35","655.89","425.00","21,794","94,00,734.70","954"
20-Dec-2018,EQ,"459.20","459.20","440.00","450.15","444.50","444.42","444.23","655.89","430.02","9,242","41,05,547.81","650"
19-Dec-2018,EQ,"462.00","464.99","448.43","455.00","450.00","450.15","452.97","655.89","430.02","10,129","45,88,182.10","595"
18-Dec-2018,EQ,"468.00","474.00","454.10","468.04","455.00","455.00","457.42","655.89","430.02","19,675","89,99,763.33","701"
17-Dec-2018,EQ,"472.00","479.80","466.06","471.87","469.50","468.04","473.42","655.89","430.02","4,055","19,19,729.91","368"
14-Dec-2018,EQ,"481.00","484.80","471.02","476.06","472.90","471.87","474.35","655.89","420.00","3,393","16,09,458.45","205"
13-Dec-2018,EQ,"484.99","485.00","475.00","480.90","475.10","476.06","480.21","655.89","420.00","3,337","16,02,458.30","174"
12-Dec-2018,EQ,"479.90","484.90","475.00","474.48","483.50","480.90","480.76","655.89","420.00","1,879","9,03,342.27","161"
11-Dec-2018,EQ,"464.00","482.00","464.00","464.96","474.75","474.48","473.14","655.89","420.00","13,073","61,85,325.14","214"
10-Dec-2018,EQ,"475.00","478.00","460.00","473.99","467.50","464.96","465.09","655.89","420.00","4,769","22,18,025.96","410"
07-Dec-2018,EQ,"470.95","474.90","470.95","466.29","474.00","473.99","473.85","655.89","415.00","2,456","11,63,785.84","180"
06-Dec-2018,EQ,"450.00","492.00","450.00","475.94","466.75","466.29","469.06","655.89","415.00","4,690","21,99,870.04","325"
05-Dec-2018,EQ,"487.00","487.00","474.00","485.76","475.00","475.94","476.94","655.89","415.00","4,578","21,83,454.03","283"
04-Dec-2018,EQ,"486.00","493.00","481.10","485.89","487.00","485.76","486.44","655.89","415.00","3,894","18,94,208.91","204"
03-Dec-2018,EQ,"483.50","492.90","475.00","473.98","485.20","485.89","486.68","655.89","415.00","6,186","30,10,574.88","376"
30-Nov-2018,EQ,"480.00","483.99","471.10","476.69","477.00","473.98","477.21","655.89","415.00","6,203","29,60,110.85","255"
29-Nov-2018,EQ,"472.95","482.00","472.00","471.92","478.00","476.69","478.41","655.89","415.00","3,920","18,75,362.14","218"
28-Nov-2018,EQ,"472.94","472.95","467.05","466.19","471.00","471.92","470.10","655.89","415.00","2,479","11,65,376.23","184"
27-Nov-2018,EQ,"474.60","483.90","462.85","465.27","465.00","466.19","468.95","655.89","415.00","6,174","28,95,325.83","451"
26-Nov-2018,EQ,"470.00","489.99","463.50","469.89","474.00","465.27","469.52","655.89","415.00","8,005","37,58,510.08","601"
22-Nov-2018,EQ,"480.00","486.99","468.00","472.80","470.00","469.89","474.76","655.89","412.00","3,364","15,97,084.34","392"
21-Nov-2018,EQ,"482.00","482.00","460.90","480.13","473.00","472.80","472.20","655.89","412.00","4,314","20,37,088.38","445"
20-Nov-2018,EQ,"489.00","491.00","467.10","488.02","478.00","480.13","479.23","655.89","412.00","7,048","33,77,612.47","382"
19-Nov-2018,EQ,"478.50","490.90","475.00","469.12","490.00","488.02","484.72","655.89","412.00","5,761","27,92,454.47","397"
16-Nov-2018,EQ,"510.00","510.00","443.00","493.36","470.00","469.12","468.61","655.89","384.00","22,543","1,05,63,875.92","848"
15-Nov-2018,EQ,"495.00","499.50","490.35","494.94","492.00","493.36","494.08","655.89","384.00","3,204","15,83,023.62","307"
14-Nov-2018,EQ,"511.70","517.70","477.80","497.75","496.00","494.94","497.24","655.89","384.00","9,504","47,25,756.28","576"
13-Nov-2018,EQ,"575.00","575.00","484.00","567.64","497.00","497.75","514.23","655.89","384.00","37,049","1,90,51,630.76","1,883"
12-Nov-2018,EQ,"589.60","592.00","560.00","589.64","570.00","567.64","577.12","655.89","384.00","8,309","47,95,254.35","583"
09-Nov-2018,EQ,"593.07","593.07","585.00","590.41","590.00","589.64","591.37","655.89","379.55","4,231","25,02,075.68","309"
07-Nov-2018,EQ,"589.00","590.41","589.00","587.27","590.41","590.41","590.27","655.89","379.55","229","1,35,172.75","46"
06-Nov-2018,EQ,"604.00","606.00","578.00","599.94","587.99","587.27","596.91","655.89","379.55","4,292","25,61,950.50","255"
05-Nov-2018,EQ,"601.79","602.80","586.00","586.20","600.00","599.94","594.86","655.89","379.55","6,573","39,10,025.49","305"
02-Nov-2018,EQ,"587.04","587.04","585.00","577.10","586.00","586.20","586.44","655.89","364.15","2,755","16,15,636.97","230"
01-Nov-2018,EQ,"577.10","577.10","577.10","587.96","577.10","577.10","577.10","655.89","364.15","2,427","14,00,621.70","198"
31-Oct-2018,EQ,"588.00","588.20","586.00","594.35","588.00","587.96","587.79","655.89","364.15","3,203","18,82,677.82","200"
30-Oct-2018,EQ,"601.00","601.53","585.30","580.93","596.00","594.35","597.93","655.89","364.15","6,075","36,32,454.26","342"
29-Oct-2018,EQ,"580.93","580.93","579.90","606.91","580.93","580.93","580.56","655.89","364.15","2,217","12,87,109.20","131"
26-Oct-2018,EQ,"606.00","609.99","578.00","606.44","607.00","606.91","595.71","655.89","364.15","4,715","28,08,778.70","315"
25-Oct-2018,EQ,"614.60","614.60","599.00","609.84","607.00","606.44","606.36","655.89","364.15","2,583","15,66,226.32","259"
24-Oct-2018,EQ,"609.84","609.84","609.84","612.51","609.84","609.84","609.84","655.89","364.15","705","4,29,937.20","79"
23-Oct-2018,EQ,"612.00","612.96","605.00","621.97","612.51","612.51","611.88","655.89","364.15","1,279","7,82,593.64","60"
22-Oct-2018,EQ,"624.95","625.86","611.00","610.36","625.00","621.97","623.58","655.89","364.15","3,132","19,53,063.62","213"
19-Oct-2018,EQ,"610.80","610.80","610.00","616.20","610.10","610.36","610.57","655.89","364.15","2,100","12,82,191.50","212"
17-Oct-2018,EQ,"616.20","616.20","609.00","603.97","616.20","616.20","615.34","655.89","364.15","1,178","7,24,868.35","148"
16-Oct-2018,EQ,"603.97","603.97","603.95","612.08","603.97","603.97","603.97","655.89","364.15","1,234","7,45,296.24","94"
15-Oct-2018,EQ,"612.08","612.08","612.08","638.28","612.08","612.08","612.08","655.89","364.15","1,038","6,35,339.04","105"
12-Oct-2018,EQ,"616.20","641.55","608.01","604.08","635.95","638.28","637.88","655.89","364.15","2,206","14,07,173.08","205"
11-Oct-2018,EQ,"635.48","635.48","570.00","635.48","607.00","604.08","607.76","655.89","364.15","7,626","46,34,750.56","593"
10-Oct-2018,EQ,"639.33","639.33","633.00","646.14","638.90","635.48","636.50","655.89","364.15","4,247","27,03,196.75","285"
09-Oct-2018,EQ,"646.45","646.47","645.85","655.85","646.00","646.14","646.42","655.89","364.15","2,718","17,56,981.55","232"
08-Oct-2018,EQ,"652.00","655.89","652.00","650.81","655.89","655.85","655.67","655.89","364.15","4,549","29,82,638.47","184"
05-Oct-2018,EQ,"645.00","651.30","645.00","646.00","650.00","650.81","650.93","651.30","364.15","4,959","32,27,969.34","245"
04-Oct-2018,EQ,"645.00","647.31","643.50","643.46","646.00","646.00","645.14","647.31","364.15","6,934","44,73,399.50","234"
03-Oct-2018,EQ,"645.00","645.00","640.50","640.88","640.50","643.46","644.59","645.00","364.15","5,443","35,08,488.89","268"
01-Oct-2018,EQ,"639.00","643.00","638.00","640.51","642.00","640.88","642.31","643.25","364.15","3,603","23,14,235.03","309"
28-Sep-2018,EQ,"642.00","643.25","632.00","640.66","641.00","640.51","639.92","643.25","364.15","2,971","19,01,205.78","230"
27-Sep-2018,EQ,"642.00","642.00","635.00","636.80","640.00","640.66","641.59","642.00","364.15","7,588","48,68,403.70","182"
26-Sep-2018,EQ,"636.80","636.80","636.50","638.99","636.80","636.80","636.77","641.72","364.15","323","2,05,676.50","56"
25-Sep-2018,EQ,"640.00","641.72","638.00","638.00","639.00","638.99","639.53","641.72","364.15","4,793","30,65,251.45","208"
24-Sep-2018,EQ,"640.04","640.04","635.00","631.34","638.00","638.00","639.64","640.04","364.15","4,718","30,17,803.28","246"
21-Sep-2018,EQ,"631.00","631.34","630.00","635.47","631.34","631.34","630.66","639.62","364.15","2,115","13,33,841.40","59"
19-Sep-2018,EQ,"635.47","635.47","635.00","637.56","635.47","635.47","635.31","639.62","364.15","1,652","10,49,538.17","131"
18-Sep-2018,EQ,"639.40","639.62","634.00","639.39","638.00","637.56","638.90","639.62","364.15","4,934","31,52,311.88","238"
17-Sep-2018,EQ,"639.45","639.46","639.00","631.78","639.00","639.39","639.43","639.46","364.15","2,199","14,06,105.88","233"
14-Sep-2018,EQ,"631.78","631.78","631.78","624.37","631.78","631.78","631.78","639.09","364.15","551","3,48,110.78","51"
12-Sep-2018,EQ,"624.37","624.37","622.20","628.64","624.37","624.37","624.14","639.09","364.15","2,362","14,74,210.80","206"
11-Sep-2018,EQ,"628.64","628.64","628.64","632.53","628.64","628.64","628.64","639.09","364.15","532","3,34,436.48","56"
