DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Aug-2026,EQ,"336.81","336.81","336.81","332.60","336.81","336.81","336.81","342.55","198.73","2,32,753","7,83,93,537.93","1,655"
14-Aug-2026,EQ,"332.60","332.60","332.60","330.55","332.60","332.60","332.60","342.55","197.81","1,27,466","4,23,95,191.60","989"
13-Aug-2026,EQ,"330.55","330.55","330.55","331.16","330.55","330.55","330.55","342.55","197.81","2,05,118","6,78,01,754.90","831"
12-Aug-2026,EQ,"331.16","331.16","331.16","331.95","331.16","331.16","331.16","342.55","197.81","1,05,204","3,48,39,356.64","956"
11-Aug-2026,EQ,"331.95","331.95","331.95","328.08","331.95","331.95","331.95","342.55","197.81","3,69,483","12,26,49,881.85","1,472"
10-Aug-2026,EQ,"328.08","328.08","328.08","328.99","328.08","328.08","328.08","342.55","197.81","1,12,568","3,69,31,309.44","1,222"
07-Aug-2026,EQ,"328.99","328.99","328.99","332.36","328.99","328.99","328.99","342.55","197.81","1,26,431","4,15,94,534.69","7,233"
06-Aug-2026,EQ,"332.58","332.58","327.32","321.82","332.58","332.36","332.54","342.55","197.81","14,24,604","47,37,42,645.02","23,377"
05-Aug-2026,EQ,"321.82","321.82","321.82","316.35","321.82","321.82","321.82","342.55","197.81","1,72,348","5,54,65,033.36","920"
04-Aug-2026,EQ,"316.35","316.35","316.35","315.45","316.35","316.35","316.35","342.55","197.81","2,84,139","8,98,87,372.65","797"
03-Aug-2026,EQ,"315.45","315.45","315.45","305.18","315.45","315.45","315.45","342.55","197.81","2,10,240","6,63,20,208.00","1,389"
31-Jul-2026,EQ,"305.18","305.18","305.18","312.19","305.18","305.18","305.18","342.55","197.81","2,55,214","7,78,86,208.52","1,630"
30-Jul-2026,EQ,"312.19","312.19","312.19","315.36","312.19","312.19","312.19","342.55","197.81","5,63,208","17,58,27,905.52","9,045"
29-Jul-2026,EQ,"315.36","315.36","315.36","318.46","315.36","315.36","315.36","342.55","197.81","5,73,197","18,07,63,405.92","11,913"
28-Jul-2026,EQ,"318.46","318.46","318.46","322.11","318.46","318.46","318.46","342.55","197.81","3,31,097","10,54,41,150.62","1,262"
27-Jul-2026,EQ,"322.11","322.11","322.11","328.15","322.11","322.11","322.11","342.55","197.81","2,02,173","6,51,21,945.03","1,152"
24-Jul-2026,EQ,"328.15","328.15","323.75","328.84","328.15","328.15","327.26","342.55","195.09","10,12,670","33,14,09,784.69","17,354"
23-Jul-2026,EQ,"328.84","328.84","328.84","323.44","328.84","328.84","328.84","342.55","195.09","4,17,324","13,72,32,824.16","1,082"
22-Jul-2026,EQ,"323.44","323.44","323.44","322.81","323.44","323.44","323.44","342.55","195.09","94,192","3,04,65,460.48","883"
21-Jul-2026,EQ,"322.81","322.81","322.81","327.96","322.81","322.81","322.81","342.55","195.09","3,80,379","12,27,90,144.99","1,143"
20-Jul-2026,EQ,"327.96","327.96","327.96","332.90","327.96","327.96","327.96","342.55","195.09","2,25,370","7,39,12,345.20","1,413"
17-Jul-2026,EQ,"330.27","332.90","330.27","333.61","332.90","332.90","332.82","342.55","189.75","4,44,480","14,79,33,494.01","14,137"
16-Jul-2026,EQ,"333.61","333.61","333.61","328.05","333.61","333.61","333.61","342.55","189.75","2,90,236","9,68,25,631.96","1,365"
15-Jul-2026,EQ,"328.05","328.05","328.05","333.24","328.05","328.05","328.05","342.55","189.75","97,520","3,19,91,436.00","1,039"
14-Jul-2026,EQ,"333.24","333.24","332.37","332.37","333.24","333.24","333.18","342.55","189.75","12,62,927","42,07,80,162.54","17,668"
