"SYMBOL  
","QUOTATION VALUE 
","UPDATED DATE 
","SESSION 1 * SPOT PRICE (IN RS.) 
","SESSION 2 * SPOT PRICE (IN RS.) 
","POLLED INFORMATION 
"
"SILVER","1 Kg","29-DEC-2022","67,428.00","67,345.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29122022_2.xlsx"
"SILVER","1 Kg","28-DEC-2022","68,020.00","67,544.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28122022_2.xlsx"
"SILVER","1 Kg","27-DEC-2022","68,225.00","68,467.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27122022_2.xlsx"
"SILVER","1 Kg","26-DEC-2022","67,353.00","67,341.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26122022_2.xlsx"
"SILVER","1 Kg","23-DEC-2022","66,993.00","67,404.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23122022_2.xlsx"
"SILVER","1 Kg","22-DEC-2022","67,987.00","67,416.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22122022_2.xlsx"
"SILVER","1 Kg","21-DEC-2022","68,197.00","68,015.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21122022_2.xlsx"
"SILVER","1 Kg","20-DEC-2022","66,142.00","67,636.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20122022_2.xlsx"
"SILVER","1 Kg","19-DEC-2022","66,304.00","66,761.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19122022_2.xlsx"
"SILVER","1 Kg","16-DEC-2022","66,161.00","65,887.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16122022_2.xlsx"
"SILVER","1 Kg","15-DEC-2022","66,712.00","66,385.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15122022_2.xlsx"
"SILVER","1 Kg","14-DEC-2022","67,852.00","67,594.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_14122022_2.xlsx"
"SILVER","1 Kg","13-DEC-2022","66,963.00","66,926.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13122022_2.xlsx"
"SILVER","1 Kg","12-DEC-2022","66,556.00","67,033.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12122022_2.xlsx"
"SILVER","1 Kg","09-DEC-2022","66,225.00","65,973.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09122022_2.xlsx"
"SILVER","1 Kg","08-DEC-2022","64,983.00","65,163.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_08122022_2.xlsx"
"SILVER","1 Kg","07-DEC-2022","64,305.00","64,428.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_07122022_2.xlsx"
"SILVER","1 Kg","06-DEC-2022","64,251.00","64,560.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06122022_2.xlsx"
"SILVER","1 Kg","05-DEC-2022","64,317.00","65,500.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_05122022_2.xlsx"
"SILVER","1 Kg","02-DEC-2022","64,489.00","64,317.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_02122022_2.xlsx"
"SILVER","1 Kg","01-DEC-2022","63,465.00","63,029.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_01122022_2.xlsx"
"SILVER","1 Kg","30-NOV-2022","61,422.00","61,750.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30112022_2.xlsx"
