"SYMBOL  
","QUOTATION VALUE 
","UPDATED DATE 
","SESSION 1 * SPOT PRICE (IN RS.) 
","SESSION 2 * SPOT PRICE (IN RS.) 
","POLLED INFORMATION 
"
"SILVER","1 Kg","31-DEC-2025","2,28,940.00","2,29,301.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_31122025_2.xlsx"
"SILVER","1 Kg","30-DEC-2025","2,31,443.00","2,31,542.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30122025_2.xlsx"
"SILVER","1 Kg","29-DEC-2025","2,41,439.00","2,33,131.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29122025_2.xlsx"
"SILVER","1 Kg","26-DEC-2025","2,28,135.00","2,28,695.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26122025_2.xlsx"
"SILVER","1 Kg","24-DEC-2025","2,19,032.00","2,18,918.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24122025_2.xlsx"
"SILVER","1 Kg","23-DEC-2025","2,10,146.00","2,10,554.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23122025_2.xlsx"
"SILVER","1 Kg","22-DEC-2025","2,07,998.00","2,07,830.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22122025_2.xlsx"
"SILVER","1 Kg","19-DEC-2025","2,00,420.00","2,00,121.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19122025_2.xlsx"
"SILVER","1 Kg","18-DEC-2025","2,01,172.00","2,00,761.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18122025_2.xlsx"
"SILVER","1 Kg","17-DEC-2025","2,00,336.00","2,00,025.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17122025_2.xlsx"
"SILVER","1 Kg","16-DEC-2025","1,91,922.00","1,92,216.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16122025_2.xlsx"
"SILVER","1 Kg","15-DEC-2025","1,92,026.00","1,93,227.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15122025_2.xlsx"
"SILVER","1 Kg","12-DEC-2025","1,92,723.00","1,93,953.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12122025_2.xlsx"
"SILVER","1 Kg","11-DEC-2025","1,87,149.00","1,88,590.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11122025_2.xlsx"
"SILVER","1 Kg","10-DEC-2025","1,86,464.00","1,85,018.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10122025_2.xlsx"
"SILVER","1 Kg","09-DEC-2025","1,76,998.00","1,79,026.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09122025_2.xlsx"
"SILVER","1 Kg","08-DEC-2025","1,79,027.00","1,78,954.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_08122025_2.xlsx"
"SILVER","1 Kg","05-DEC-2025","1,78,518.00","1,78,224.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_05122025_2.xlsx"
"SILVER","1 Kg","04-DEC-2025","1,75,699.00","1,75,493.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_04122025_2.xlsx"
"SILVER","1 Kg","03-DEC-2025","1,78,371.00","1,77,912.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_03122025_2.xlsx"
"SILVER","1 Kg","02-DEC-2025","1,74,985.00","1,73,993.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_02122025_2.xlsx"
"SILVER","1 Kg","01-DEC-2025","1,74,293.00","1,75,555.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_01122025_2.xlsx"
"SILVER","1 Kg","28-NOV-2025","1,64,215.00","1,64,081.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28112025_2.xlsx"
"SILVER","1 Kg","27-NOV-2025","1,62,177.00","1,62,426.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27112025_2.xlsx"
"SILVER","1 Kg","26-NOV-2025","1,57,744.00","1,58,701.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26112025_2.xlsx"
"SILVER","1 Kg","25-NOV-2025","1,56,846.00","1,55,974.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_25112025_2.xlsx"
"SILVER","1 Kg","24-NOV-2025","1,52,808.00","1,53,429.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24112025_2.xlsx"
"SILVER","1 Kg","21-NOV-2025","1,51,336.00","1,50,703.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21112025_2.xlsx"
"SILVER","1 Kg","20-NOV-2025","1,55,415.00","1,54,471.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20112025_2.xlsx"
"SILVER","1 Kg","19-NOV-2025","1,55,971.00","1,58,339.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19112025_2.xlsx"
"SILVER","1 Kg","18-NOV-2025","1,51,419.00","1,53,469.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18112025_2.xlsx"
"SILVER","1 Kg","17-NOV-2025","1,53,994.00","1,55,256.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17112025_2.xlsx"
"SILVER","1 Kg","14-NOV-2025","1,59,950.00","1,59,686.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_14112025_2.xlsx"
"SILVER","1 Kg","13-NOV-2025","1,63,587.00","1,63,678.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13112025_2.xlsx"
"SILVER","1 Kg","12-NOV-2025","1,55,229.00","1,56,455.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12112025_2.xlsx"
