"SYMBOL  
","QUOTATION VALUE 
","UPDATED DATE 
","SESSION 1 * SPOT PRICE (IN RS.) 
","SESSION 2 * SPOT PRICE (IN RS.) 
","POLLED INFORMATION 
"
"SILVER","1 Kg","31-DEC-2024","85,534.00","85,977.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_31122024_2.xlsx"
"SILVER","1 Kg","30-DEC-2024","87,273.00","87,106.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30122024_2.xlsx"
"SILVER","1 Kg","27-DEC-2024","88,342.00","87,748.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27122024_2.xlsx"
"SILVER","1 Kg","26-DEC-2024","87,762.00","87,822.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26122024_2.xlsx"
"SILVER","1 Kg","24-DEC-2024","87,686.00","87,460.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24122024_2.xlsx"
"SILVER","1 Kg","23-DEC-2024","87,254.00","87,416.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23122024_2.xlsx"
"SILVER","1 Kg","20-DEC-2024","85,500.00","85,178.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20122024_2.xlsx"
"SILVER","1 Kg","19-DEC-2024","86,679.00","86,914.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19122024_2.xlsx"
"SILVER","1 Kg","18-DEC-2024","88,887.00","89,002.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18122024_2.xlsx"
"SILVER","1 Kg","17-DEC-2024","89,049.00","88,574.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17122024_2.xlsx"
"SILVER","1 Kg","16-DEC-2024","89,206.00","89,434.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16122024_2.xlsx"
"SILVER","1 Kg","13-DEC-2024","90,031.00","89,815.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13122024_2.xlsx"
"SILVER","1 Kg","12-DEC-2024","93,563.00","93,671.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12122024_2.xlsx"
"SILVER","1 Kg","11-DEC-2024","92,829.00","92,537.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11122024_2.xlsx"
"SILVER","1 Kg","10-DEC-2024","92,949.00","92,682.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10122024_2.xlsx"
"SILVER","1 Kg","09-DEC-2024","90,389.00","91,368.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09122024_2.xlsx"
"SILVER","1 Kg","06-DEC-2024","90,977.00","90,776.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06122024_2.xlsx"
"SILVER","1 Kg","05-DEC-2024","90,954.00","91,134.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_05122024_2.xlsx"
"SILVER","1 Kg","04-DEC-2024","90,230.00","89,849.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_04122024_2.xlsx"
"SILVER","1 Kg","03-DEC-2024","89,750.00","89,993.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_03122024_2.xlsx"
"SILVER","1 Kg","02-DEC-2024","87,909.00","88,329.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_02122024_2.xlsx"
"SILVER","1 Kg","29-NOV-2024","89,357.00","89,310.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29112024_2.xlsx"
"SILVER","1 Kg","28-NOV-2024","87,140.00","87,536.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28112024_2.xlsx"
"SILVER","1 Kg","27-NOV-2024","88,931.00","88,532.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27112024_2.xlsx"
"SILVER","1 Kg","26-NOV-2024","87,925.00","88,399.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26112024_2.xlsx"
"SILVER","1 Kg","25-NOV-2024","89,010.00","89,162.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_25112024_2.xlsx"
"SILVER","1 Kg","22-NOV-2024","90,066.00","90,805.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22112024_2.xlsx"
"SILVER","1 Kg","21-NOV-2024","90,475.00","90,186.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21112024_2.xlsx"
"SILVER","1 Kg","19-NOV-2024","90,694.00","90,983.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19112024_2.xlsx"
"SILVER","1 Kg","18-NOV-2024","88,888.00","89,098.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18112024_2.xlsx"
"SILVER","1 Kg","14-NOV-2024","87,447.00","86,759.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_14112024_2.xlsx"
"SILVER","1 Kg","13-NOV-2024","89,560.00","89,648.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13112024_2.xlsx"
"SILVER","1 Kg","12-NOV-2024","88,231.00","88,128.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12112024_2.xlsx"
"SILVER","1 Kg","11-NOV-2024","90,783.00","91,045.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11112024_2.xlsx"
"SILVER","1 Kg","08-NOV-2024","91,288.00","91,032.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_08112024_2.xlsx"
"SILVER","1 Kg","07-NOV-2024","90,074.00","90,485.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_07112024_2.xlsx"
"SILVER","1 Kg","06-NOV-2024","92,624.00","93,102.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06112024_2.xlsx"
"SILVER","1 Kg","05-NOV-2024","96,384.00","96,384.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_05112024_2.xlsx"
"SILVER","1 Kg","04-NOV-2024","96,384.00","96,384.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_04112024_2.xlsx"
"SILVER","1 Kg","31-OCT-2024","96,748.00","96,384.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_31102024_2.xlsx"
"SILVER","1 Kg","30-OCT-2024","98,097.00","98,125.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30102024_2.xlsx"
"SILVER","1 Kg","29-OCT-2024","97,072.00","97,683.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29102024_2.xlsx"
"SILVER","1 Kg","28-OCT-2024","96,377.00","96,007.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28102024_2.xlsx"
"SILVER","1 Kg","25-OCT-2024","95,868.00","95,171.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_25102024_2.xlsx"
"SILVER","1 Kg","24-OCT-2024","97,171.00","97,734.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24102024_2.xlsx"
"SILVER","1 Kg","23-OCT-2024","98,764.00","98,709.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23102024_2.xlsx"
"SILVER","1 Kg","22-OCT-2024","97,165.00","97,685.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22102024_2.xlsx"
"SILVER","1 Kg","21-OCT-2024","96,976.00","96,984.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21102024_2.xlsx"
"SILVER","1 Kg","18-OCT-2024","91,851.00","92,125.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18102024_2.xlsx"
"SILVER","1 Kg","17-OCT-2024","90,541.00","91,184.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17102024_2.xlsx"
"SILVER","1 Kg","16-OCT-2024","91,035.00","91,534.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16102024_2.xlsx"
"SILVER","1 Kg","15-OCT-2024","89,390.00","89,729.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15102024_2.xlsx"
"SILVER","1 Kg","14-OCT-2024","90,304.00","90,284.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_14102024_2.xlsx"
"SILVER","1 Kg","11-OCT-2024","89,730.00","89,795.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11102024_2.xlsx"
"SILVER","1 Kg","10-OCT-2024","88,070.00","88,302.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10102024_2.xlsx"
"SILVER","1 Kg","09-OCT-2024","88,097.00","88,359.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09102024_2.xlsx"
"SILVER","1 Kg","08-OCT-2024","90,321.00","89,967.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_08102024_2.xlsx"
"SILVER","1 Kg","07-OCT-2024","91,593.00","91,781.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_07102024_2.xlsx"
"SILVER","1 Kg","04-OCT-2024","92,126.00","92,031.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_04102024_2.xlsx"
"SILVER","1 Kg","03-OCT-2024","90,934.00","90,607.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_03102024_2.xlsx"
"SILVER","1 Kg","01-OCT-2024","90,068.00","89,984.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_01102024_2.xlsx"
"SILVER","1 Kg","30-SEP-2024","90,387.00","90,124.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30092024_2.xlsx"
"SILVER","1 Kg","27-SEP-2024","90,553.00","90,749.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27092024_2.xlsx"
"SILVER","1 Kg","26-SEP-2024","90,861.00","91,568.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26092024_2.xlsx"
"SILVER","1 Kg","25-SEP-2024","90,206.00","90,480.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_25092024_2.xlsx"
"SILVER","1 Kg","24-SEP-2024","87,883.00","88,342.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24092024_2.xlsx"
"SILVER","1 Kg","23-SEP-2024","88,062.00","87,498.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23092024_2.xlsx"
"SILVER","1 Kg","20-SEP-2024","88,379.00","88,574.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20092024_2.xlsx"
"SILVER","1 Kg","19-SEP-2024","88,121.00","88,537.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19092024_2.xlsx"
"SILVER","1 Kg","18-SEP-2024","87,118.00","87,267.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18092024_2.xlsx"
"SILVER","1 Kg","17-SEP-2024","87,863.00","87,396.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17092024_2.xlsx"
"SILVER","1 Kg","16-SEP-2024","88,350.00","88,151.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16092024_2.xlsx"
"SILVER","1 Kg","13-SEP-2024","85,895.00","85,957.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13092024_2.xlsx"
"SILVER","1 Kg","12-SEP-2024","83,084.00","83,167.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12092024_2.xlsx"
"SILVER","1 Kg","11-SEP-2024","82,831.00","82,950.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11092024_2.xlsx"
"SILVER","1 Kg","10-SEP-2024","82,031.00","82,112.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10092024_2.xlsx"
"SILVER","1 Kg","09-SEP-2024","80,775.00","81,387.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09092024_2.xlsx"
"SILVER","1 Kg","06-SEP-2024","83,065.00","83,137.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06092024_2.xlsx"
"SILVER","1 Kg","05-SEP-2024","82,015.00","82,834.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_05092024_2.xlsx"
