DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Dec-2022,EQ,"285.49","287.00","283.01","284.95","286.00","286.22","285.44","325.00","212.62","9,186","26,22,066.39","330"
29-Dec-2022,EQ,"285.51","286.09","282.02","284.74","284.91","284.95","284.53","325.00","212.62","14,485","41,21,476.92","388"
28-Dec-2022,EQ,"284.89","285.88","279.90","282.78","285.88","284.74","283.21","325.00","212.62","19,101","54,09,689.69","593"
27-Dec-2022,EQ,"280.49","283.00","273.55","277.37","282.98","282.78","281.30","325.00","212.62","10,352","29,12,044.17","586"
26-Dec-2022,EQ,"275.17","277.99","271.23","275.18","277.98","277.37","275.29","325.00","212.62","5,323","14,65,381.72","357"
23-Dec-2022,EQ,"282.10","283.00","275.00","282.09","275.50","275.18","277.62","325.00","212.62","18,799","52,18,953.42","833"
22-Dec-2022,EQ,"274.99","286.59","273.49","268.36","281.40","282.09","276.87","325.00","212.62","98,118","2,71,65,490.36","1,034"
21-Dec-2022,EQ,"273.97","273.97","267.97","270.10","268.13","268.36","268.76","325.00","212.62","46,250","1,24,30,359.55","610"
20-Dec-2022,EQ,"278.15","279.00","268.31","278.14","270.00","270.10","272.60","325.00","212.62","69,253","1,88,78,616.88","1,431"
19-Dec-2022,EQ,"282.94","282.95","277.70","282.95","277.70","278.14","279.61","325.00","212.62","10,516","29,40,358.07","658"
16-Dec-2022,EQ,"282.91","284.49","280.40","282.92","282.99","282.95","281.82","325.00","212.62","17,462","49,21,107.83","504"
15-Dec-2022,EQ,"284.19","284.19","281.50","285.14","283.00","282.92","282.87","325.00","212.62","18,014","50,95,557.63","455"
14-Dec-2022,EQ,"286.15","286.15","281.00","281.68","284.15","285.14","283.69","325.00","212.62","26,796","76,01,716.13","886"
13-Dec-2022,EQ,"286.88","286.88","280.90","280.78","281.06","281.68","282.45","325.00","212.62","10,425","29,44,561.25","523"
12-Dec-2022,EQ,"286.00","286.00","275.01","279.62","282.00","280.78","280.27","325.00","212.62","22,058","61,82,178.75","949"
09-Dec-2022,EQ,"276.17","282.59","276.17","275.87","280.39","279.62","280.45","325.00","212.62","26,987","75,68,538.70","755"
08-Dec-2022,EQ,"278.99","278.99","274.07","271.23","276.80","275.87","276.20","325.00","212.62","28,727","79,34,522.14","582"
07-Dec-2022,EQ,"286.96","286.96","265.30","278.11","270.51","271.23","273.61","325.00","212.62","51,281","1,40,30,744.28","1,513"
06-Dec-2022,EQ,"274.01","280.00","273.01","274.93","278.90","278.11","275.83","325.00","212.62","27,368","75,49,019.20","651"
05-Dec-2022,EQ,"268.98","275.00","266.06","263.26","275.00","274.93","271.96","325.00","212.62","56,237","1,52,94,331.55","1,177"
02-Dec-2022,EQ,"261.99","264.00","259.31","262.39","263.78","263.26","262.37","325.00","212.62","14,599","38,30,352.14","429"
01-Dec-2022,EQ,"259.99","265.00","259.99","259.82","262.50","262.39","262.97","325.00","212.62","25,507","67,07,633.31","745"
30-Nov-2022,EQ,"257.93","263.10","255.26","256.67","259.03","259.82","259.59","325.00","212.62","32,131","83,40,903.81","582"
29-Nov-2022,EQ,"251.84","257.14","250.01","247.39","256.16","256.67","255.32","325.00","212.62","30,240","77,20,920.79","558"
28-Nov-2022,EQ,"249.57","249.96","245.00","249.56","247.67","247.39","247.53","325.00","212.62","29,954","74,14,525.34","680"
25-Nov-2022,EQ,"250.32","251.74","249.00","250.33","250.37","249.56","250.01","327.48","212.62","12,368","30,92,111.57","427"
24-Nov-2022,EQ,"253.15","253.98","248.99","251.50","251.00","250.33","251.01","327.48","212.62","9,325","23,40,649.93","555"
23-Nov-2022,EQ,"257.99","257.99","249.05","248.39","251.99","251.50","250.16","327.48","212.62","11,248","28,13,830.06","378"
22-Nov-2022,EQ,"255.97","256.00","246.00","254.18","248.57","248.39","250.47","327.48","212.62","26,694","66,86,029.26","796"
21-Nov-2022,EQ,"253.99","256.45","251.00","255.39","254.48","254.18","254.49","327.48","212.62","1,35,727","3,45,40,964.06","726"
18-Nov-2022,EQ,"248.10","263.00","248.10","263.91","255.00","255.39","258.89","327.48","212.62","46,906","1,21,43,530.47","974"
17-Nov-2022,EQ,"255.29","265.40","252.79","258.66","262.00","263.91","260.11","327.48","212.62","1,16,038","3,01,82,462.84","1,561"
16-Nov-2022,EQ,"257.99","260.00","252.00","254.51","257.55","258.66","257.16","327.48","212.62","45,502","1,17,01,118.50","1,061"
15-Nov-2022,EQ,"248.00","256.00","246.95","244.37","255.95","254.51","252.11","327.48","212.62","68,006","1,71,44,981.87","1,013"
14-Nov-2022,EQ,"243.11","248.33","240.54","240.54","244.78","244.37","243.70","327.48","212.62","51,266","1,24,93,338.86","854"
11-Nov-2022,EQ,"237.00","241.60","235.00","227.88","240.70","240.54","238.87","327.48","212.62","39,392","94,09,622.14","830"
10-Nov-2022,EQ,"240.09","240.09","227.00","230.54","228.94","227.88","229.19","327.48","212.62","26,248","60,15,740.82","546"
