DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2024,EQ,"344.47","344.48","339.00","341.15","342.50","342.06","341.69","421.38","205.00","1,24,438","4,25,19,471.38","2,103"
30-Dec-2024,EQ,"347.76","354.99","335.13","350.94","341.00","341.15","343.43","421.38","205.00","1,31,481","4,51,54,220.08","3,918"
27-Dec-2024,EQ,"349.99","354.67","348.19","349.37","349.33","350.94","350.98","421.38","205.00","1,00,819","3,53,85,820.22","2,103"
26-Dec-2024,EQ,"358.72","361.95","348.10","351.87","348.90","349.37","350.98","421.38","205.00","94,690","3,32,34,212.25","2,413"
24-Dec-2024,EQ,"346.10","353.06","346.10","346.33","352.00","351.87","351.56","421.38","205.00","1,37,168","4,82,23,297.82","2,365"
23-Dec-2024,EQ,"349.89","349.89","344.00","345.57","347.59","346.33","346.78","421.38","205.00","78,107","2,70,85,874.91","2,059"
20-Dec-2024,EQ,"342.37","349.99","335.00","339.49","344.95","345.57","343.52","421.38","205.00","1,84,278","6,33,03,412.62","2,745"
19-Dec-2024,EQ,"341.98","342.85","333.50","340.76","339.14","339.49","338.10","421.38","205.00","98,373","3,32,59,747.40","2,932"
18-Dec-2024,EQ,"349.80","349.85","340.00","345.59","340.57","340.76","344.89","421.38","205.00","1,03,718","3,57,71,311.58","3,090"
17-Dec-2024,EQ,"350.89","350.89","345.06","348.22","345.25","345.59","347.44","421.38","205.00","80,620","2,80,10,900.95","2,747"
16-Dec-2024,EQ,"352.80","354.97","346.50","352.89","349.00","348.22","349.47","421.38","205.00","1,34,669","4,70,62,743.83","3,970"
13-Dec-2024,EQ,"355.00","356.50","345.35","356.99","354.48","352.89","348.35","421.38","205.00","2,65,830","9,26,00,906.63","5,866"
12-Dec-2024,EQ,"354.26","364.50","354.26","351.95","357.01","356.99","358.91","421.38","205.00","1,98,576","7,12,70,025.72","4,371"
11-Dec-2024,EQ,"358.69","358.69","350.12","356.05","352.19","351.95","352.33","421.38","205.00","1,33,605","4,70,72,775.17","4,747"
10-Dec-2024,EQ,"354.39","366.00","354.39","354.39","356.60","356.05","360.68","421.38","205.00","4,80,614","17,33,46,037.54","9,189"
09-Dec-2024,EQ,"339.79","364.40","329.30","336.40","352.00","354.39","348.04","421.38","205.00","7,27,502","25,32,00,834.42","10,637"
06-Dec-2024,EQ,"335.56","341.00","333.20","335.26","336.00","336.40","335.66","421.38","205.00","3,00,638","10,09,11,200.35","4,196"
05-Dec-2024,EQ,"336.70","337.89","330.11","336.70","335.70","335.26","334.35","421.38","205.00","82,381","2,75,44,094.32","3,006"
04-Dec-2024,EQ,"333.22","337.64","332.00","332.66","336.95","336.70","335.22","421.38","205.00","1,58,600","5,31,66,496.99","3,309"
03-Dec-2024,EQ,"331.99","333.21","330.10","330.79","332.99","332.66","331.88","421.38","205.00","93,850","3,11,46,916.47","3,721"
02-Dec-2024,EQ,"333.00","333.25","328.21","331.65","331.37","330.79","330.18","421.38","205.00","99,805","3,29,53,613.92","3,303"
29-Nov-2024,EQ,"331.57","336.90","329.00","329.36","331.65","331.65","331.40","421.38","205.00","67,417","2,23,42,188.67","1,924"
28-Nov-2024,EQ,"338.00","338.00","321.31","332.45","328.35","329.36","327.10","421.38","205.00","1,41,679","4,63,43,751.92","3,441"
27-Nov-2024,EQ,"333.05","339.70","322.50","323.35","334.00","332.45","330.27","421.38","205.00","1,71,389","5,66,04,165.13","3,714"
26-Nov-2024,EQ,"328.29","328.29","318.00","319.86","322.98","323.35","321.54","421.38","205.00","1,51,665","4,87,66,641.38","3,397"
25-Nov-2024,EQ,"326.40","329.00","315.30","322.17","320.20","319.86","319.25","421.38","205.00","2,55,707","8,16,34,834.27","5,995"
22-Nov-2024,EQ,"327.00","327.00","319.50","324.52","322.44","322.17","322.01","421.38","205.00","1,46,191","4,70,75,578.13","5,061"
21-Nov-2024,EQ,"340.44","340.44","322.00","334.15","324.75","324.52","326.35","421.38","205.00","1,89,356","6,17,95,979.97","5,273"
19-Nov-2024,EQ,"331.00","337.00","326.00","329.95","337.00","334.15","331.25","421.38","205.00","1,31,759","4,36,44,782.26","3,231"
18-Nov-2024,EQ,"340.50","346.80","326.00","338.31","329.49","329.95","335.81","421.38","205.00","1,56,449","5,25,37,390.97","4,897"
14-Nov-2024,EQ,"344.70","349.99","337.25","347.54","338.00","338.31","341.29","421.38","205.00","1,49,040","5,08,66,162.45","3,955"
13-Nov-2024,EQ,"343.91","349.90","333.10","343.77","349.49","347.54","340.83","421.38","205.00","2,62,074","8,93,22,925.82","5,779"
12-Nov-2024,EQ,"359.99","359.99","341.60","359.38","346.80","343.77","347.40","421.38","205.00","3,89,311","13,52,47,889.17","8,454"
11-Nov-2024,EQ,"350.00","362.55","342.15","366.67","361.00","359.38","356.60","421.38","205.00","3,46,272","12,34,79,001.88","7,257"
08-Nov-2024,EQ,"365.10","375.35","350.67","361.59","366.00","366.67","366.80","421.38","205.00","8,03,993","29,49,03,594.70","9,366"
07-Nov-2024,EQ,"343.01","365.00","341.00","348.30","363.50","361.59","358.45","421.38","205.00","3,67,127","13,15,95,599.91","6,524"
06-Nov-2024,EQ,"364.70","364.70","341.05","368.99","349.80","348.30","350.83","421.38","205.00","7,11,243","24,95,28,513.97","13,899"
05-Nov-2024,EQ,"362.70","378.50","352.50","352.16","369.00","368.99","369.45","421.38","205.00","9,41,840","34,79,63,007.94","13,143"
04-Nov-2024,EQ,"333.97","357.97","332.72","332.72","353.60","352.16","347.77","421.38","205.00","10,01,242","34,81,99,578.49","14,643"
01-Nov-2024,EQ,"333.99","340.00","329.02","330.52","333.00","332.72","332.91","421.38","205.00","1,92,808","6,41,87,076.16","2,822"
31-Oct-2024,EQ,"331.69","332.50","327.01","329.70","330.00","330.52","330.95","421.38","205.00","1,13,970","3,77,18,135.77","2,383"
30-Oct-2024,EQ,"334.65","334.65","322.59","329.31","329.74","329.70","327.44","421.38","205.00","1,54,388","5,05,52,329.57","3,021"
29-Oct-2024,EQ,"334.64","334.64","326.11","327.96","329.50","329.31","330.14","421.38","205.00","3,10,502","10,25,08,301.41","4,860"
28-Oct-2024,EQ,"328.99","329.90","320.00","328.13","328.98","327.96","327.23","421.38","205.00","1,30,575","4,27,28,447.50","3,320"
25-Oct-2024,EQ,"331.95","331.95","326.55","327.77","328.50","328.13","329.32","421.38","205.00","2,77,132","9,12,63,881.81","3,638"
24-Oct-2024,EQ,"335.10","335.10","326.40","332.76","328.00","327.77","328.28","421.38","205.00","1,97,048","6,46,86,901.45","4,775"
23-Oct-2024,EQ,"333.29","342.82","322.00","324.83","333.00","332.76","330.75","421.38","205.00","2,45,948","8,13,47,801.93","3,730"
22-Oct-2024,EQ,"327.78","329.99","322.00","326.50","324.00","324.83","327.11","421.38","205.00","3,00,079","9,81,58,927.14","4,326"
21-Oct-2024,EQ,"338.30","338.30","324.99","330.78","327.00","326.50","329.25","421.38","205.00","3,97,104","13,07,47,810.64","5,575"
18-Oct-2024,EQ,"320.00","331.70","318.50","319.65","331.20","330.78","328.15","421.38","205.00","7,42,206","24,35,58,478.27","6,538"
17-Oct-2024,EQ,"321.99","327.31","318.80","319.67","319.74","319.65","321.17","421.38","205.00","5,71,433","18,35,24,293.04","6,464"
16-Oct-2024,EQ,"330.00","330.01","318.00","327.22","319.90","319.67","322.04","421.38","205.00","14,01,762","45,14,23,991.04","13,244"
15-Oct-2024,EQ,"363.00","363.00","323.40","359.51","326.90","327.22","327.96","421.38","205.00","23,38,578","76,69,56,168.40","21,947"
14-Oct-2024,EQ,"380.10","380.10","357.04","381.78","359.34","359.51","365.02","421.38","205.00","5,84,959","21,35,23,476.12","10,013"
11-Oct-2024,EQ,"379.40","381.78","365.07","369.91","381.78","381.78","373.72","421.38","205.00","2,73,898","10,23,60,954.56","3,567"
10-Oct-2024,EQ,"370.00","386.40","369.05","367.87","369.99","369.91","376.96","421.38","205.00","3,13,495","11,81,76,449.23","5,837"
09-Oct-2024,EQ,"373.00","376.50","342.10","375.99","368.00","367.87","364.46","421.38","205.00","6,88,675","25,09,97,763.09","11,249"
08-Oct-2024,EQ,"418.70","421.38","370.30","409.58","375.50","375.99","385.18","421.38","205.00","10,52,851","40,55,34,434.95","21,587"
07-Oct-2024,EQ,"408.53","409.58","395.00","390.52","409.58","409.58","408.79","409.58","205.00","1,21,796","4,97,89,210.58","2,028"
04-Oct-2024,EQ,"390.54","390.54","387.00","389.08","390.54","390.52","390.50","390.75","205.00","3,01,285","11,76,52,502.13","3,825"
03-Oct-2024,EQ,"389.90","390.75","365.01","380.77","390.75","389.08","385.15","390.75","205.00","8,26,520","31,83,30,427.49","11,604"
01-Oct-2024,EQ,"360.00","380.77","360.00","367.12","380.77","380.77","380.41","380.77","205.00","3,08,444","11,73,36,096.27","3,967"
30-Sep-2024,EQ,"337.99","367.20","337.99","336.25","367.20","367.12","364.32","367.20","205.00","11,50,088","41,89,95,722.59","10,827"
27-Sep-2024,EQ,"318.48","337.90","318.48","318.47","336.70","336.25","331.37","338.07","205.00","9,30,266","30,82,61,702.09","10,254"
26-Sep-2024,EQ,"308.75","320.77","305.72","308.75","318.27","318.47","313.61","338.07","205.00","5,91,336","18,54,47,015.63","7,540"
25-Sep-2024,EQ,"298.00","309.10","298.00","297.98","307.50","308.75","305.57","338.07","205.00","5,87,424","17,95,01,908.62","7,475"
24-Sep-2024,EQ,"289.58","300.00","287.05","284.59","297.50","297.98","293.55","338.07","205.00","4,17,280","12,24,94,601.39","5,653"
23-Sep-2024,EQ,"286.20","286.70","284.00","286.20","284.49","284.59","285.24","338.07","205.00","83,891","2,39,29,077.48","1,550"
20-Sep-2024,EQ,"283.98","286.68","283.00","283.84","286.20","286.20","285.05","338.07","205.00","1,10,303","3,14,42,151.31","2,872"
19-Sep-2024,EQ,"283.98","284.20","282.11","281.34","283.00","283.84","283.40","338.07","205.00","2,45,202","6,94,90,748.18","1,391"
18-Sep-2024,EQ,"282.66","283.00","281.00","282.67","281.98","281.34","282.10","338.07","205.00","32,678","92,18,370.78","1,409"
17-Sep-2024,EQ,"291.35","291.35","282.29","282.88","282.67","282.67","282.97","338.07","205.00","69,064","1,95,43,225.95","1,266"
16-Sep-2024,EQ,"285.82","285.97","282.55","282.95","282.90","282.88","283.10","338.07","205.00","40,801","1,15,50,851.82","1,272"
13-Sep-2024,EQ,"287.99","287.99","282.53","283.56","283.40","282.95","283.17","338.07","205.00","65,742","1,86,16,086.77","1,860"
12-Sep-2024,EQ,"288.99","288.99","282.30","283.12","283.06","283.56","283.49","338.07","205.00","43,850","1,24,31,216.25","2,053"
11-Sep-2024,EQ,"281.97","284.30","280.50","281.97","284.00","283.12","282.72","338.07","205.00","60,161","1,70,08,880.79","4,213"
10-Sep-2024,EQ,"285.56","285.56","281.30","281.57","281.90","281.97","282.63","338.07","205.00","1,02,328","2,89,21,221.53","3,736"
09-Sep-2024,EQ,"285.01","285.12","279.85","286.12","282.40","281.57","282.27","338.07","205.00","1,04,263","2,94,30,836.41","5,598"
06-Sep-2024,EQ,"290.45","290.45","283.01","286.37","286.90","286.12","286.04","338.07","205.00","91,100","2,60,58,318.00","3,482"
05-Sep-2024,EQ,"283.91","287.99","283.01","283.91","287.49","286.37","285.54","338.07","205.00","54,216","1,54,80,672.37","2,791"
04-Sep-2024,EQ,"285.93","285.93","282.45","285.59","283.11","283.91","283.93","338.07","205.00","66,557","1,88,97,489.76","2,078"
03-Sep-2024,EQ,"289.89","289.89","283.65","287.03","285.98","285.59","285.09","338.07","205.00","1,77,051","5,04,74,714.51","6,596"
02-Sep-2024,EQ,"295.89","295.89","285.79","289.23","287.00","287.03","287.95","338.07","205.00","1,37,956","3,97,23,860.19","5,434"
30-Aug-2024,EQ,"284.99","290.30","284.99","283.72","290.30","289.23","287.93","338.07","205.00","97,057","2,79,46,022.17","3,830"
29-Aug-2024,EQ,"287.48","287.48","282.68","286.69","284.28","283.72","284.73","338.07","205.00","86,626","2,46,64,971.00","2,312"
28-Aug-2024,EQ,"290.15","290.15","285.90","290.15","286.80","286.69","287.35","338.07","205.00","56,240","1,61,60,602.05","2,325"
27-Aug-2024,EQ,"288.04","291.00","285.15","288.04","291.00","290.15","288.44","338.07","205.00","66,106","1,90,67,536.35","2,133"
