"SYMBOL  
","QUOTATION VALUE 
","UPDATED DATE 
","SESSION 1 * SPOT PRICE (IN RS.) 
","SESSION 2 * SPOT PRICE (IN RS.) 
","POLLED INFORMATION 
"
"GOLD","10 Grams","17-AUG-2026","1,53,541.00","1,53,649.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17082026_2.xlsx"
"GOLD","10 Grams","14-AUG-2026","1,51,007.00","1,51,821.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_14082026_2.xlsx"
"GOLD","10 Grams","13-AUG-2026","1,51,886.00","1,52,286.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13082026_2.xlsx"
"GOLD","10 Grams","12-AUG-2026","1,52,334.00","1,53,012.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12082026_2.xlsx"
"GOLD","10 Grams","11-AUG-2026","1,51,612.00","1,51,819.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11082026_2.xlsx"
"GOLD","10 Grams","10-AUG-2026","1,50,613.00","1,50,301.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10082026_2.xlsx"
"GOLD","10 Grams","07-AUG-2026","1,48,365.00","1,49,081.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_07082026_2.xlsx"
"GOLD","10 Grams","06-AUG-2026","1,47,753.00","-","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06082026_1.xlsx"
"GOLD","10 Grams","05-AUG-2026","1,44,970.00","1,44,478.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_05082026_2.xlsx"
"GOLD","10 Grams","04-AUG-2026","1,42,310.00","1,42,030.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_04082026_2.xlsx"
"GOLD","10 Grams","03-AUG-2026","1,42,310.00","1,42,124.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_03082026_2.xlsx"
"GOLD","10 Grams","31-JUL-2026","1,42,774.00","1,42,164.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_31072026_2.xlsx"
"GOLD","10 Grams","30-JUL-2026","1,41,864.00","1,42,829.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30072026_2.xlsx"
"GOLD","10 Grams","29-JUL-2026","1,41,869.00","1,41,613.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29072026_2.xlsx"
"GOLD","10 Grams","28-JUL-2026","1,42,022.00","1,41,619.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28072026_2.xlsx"
"GOLD","10 Grams","27-JUL-2026","1,43,966.00","1,43,762.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27072026_2.xlsx"
"GOLD","10 Grams","24-JUL-2026","1,42,231.00","1,43,214.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24072026_2.xlsx"
"GOLD","10 Grams","23-JUL-2026","1,44,973.00","1,44,103.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23072026_2.xlsx"
"GOLD","10 Grams","22-JUL-2026","1,44,681.00","1,44,581.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22072026_2.xlsx"
"GOLD","10 Grams","21-JUL-2026","1,42,798.00","1,42,753.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21072026_2.xlsx"
"GOLD","10 Grams","20-JUL-2026","1,41,322.00","1,41,824.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20072026_2.xlsx"
"GOLD","10 Grams","17-JUL-2026","1,40,666.00","1,40,633.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17072026_2.xlsx"
"GOLD","10 Grams","16-JUL-2026","1,41,276.00","1,41,504.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16072026_2.xlsx"
"GOLD","10 Grams","15-JUL-2026","1,41,195.00","1,41,286.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15072026_2.xlsx"
"GOLD","10 Grams","14-JUL-2026","1,41,287.00","1,41,159.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_14072026_2.xlsx"
"GOLD","10 Grams","13-JUL-2026","1,41,817.00","1,41,802.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13072026_2.xlsx"
"GOLD","10 Grams","10-JUL-2026","1,43,240.00","1,42,885.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10072026_2.xlsx"
"GOLD","10 Grams","09-JUL-2026","1,43,006.00","1,43,152.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09072026_2.xlsx"
"GOLD","10 Grams","08-JUL-2026","1,43,497.00","1,41,990.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_08072026_2.xlsx"
"GOLD","10 Grams","07-JUL-2026","1,43,697.00","1,43,534.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_07072026_2.xlsx"
"GOLD","10 Grams","06-JUL-2026","1,45,083.00","1,44,758.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06072026_2.xlsx"
"GOLD","10 Grams","03-JUL-2026","1,45,631.00","1,45,692.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_03072026_2.xlsx"
