"SYMBOL  
","QUOTATION VALUE 
","UPDATED DATE 
","SESSION 1 * SPOT PRICE (IN RS.) 
","SESSION 2 * SPOT PRICE (IN RS.) 
","POLLED INFORMATION 
"
"GOLD","10 Grams","29-DEC-2023","63,115.00","62,958.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29122023_2.xlsx"
"GOLD","10 Grams","28-DEC-2023","63,465.00","63,269.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28122023_2.xlsx"
"GOLD","10 Grams","27-DEC-2023","63,028.00","63,060.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27122023_2.xlsx"
"GOLD","10 Grams","26-DEC-2023","62,875.00","62,854.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26122023_2.xlsx"
"GOLD","10 Grams","22-DEC-2023","62,443.00","62,593.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22122023_2.xlsx"
"GOLD","10 Grams","21-DEC-2023","62,179.00","62,160.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21122023_2.xlsx"
"GOLD","10 Grams","20-DEC-2023","62,273.00","62,228.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20122023_2.xlsx"
"GOLD","10 Grams","19-DEC-2023","61,880.00","61,946.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19122023_2.xlsx"
"GOLD","10 Grams","18-DEC-2023","61,705.00","61,762.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18122023_2.xlsx"
"GOLD","10 Grams","15-DEC-2023","62,154.00","62,183.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15122023_2.xlsx"
"GOLD","10 Grams","14-DEC-2023","62,284.00","62,182.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_14122023_2.xlsx"
"GOLD","10 Grams","13-DEC-2023","60,832.00","60,958.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13122023_2.xlsx"
"GOLD","10 Grams","12-DEC-2023","61,123.00","61,049.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12122023_2.xlsx"
"GOLD","10 Grams","11-DEC-2023","61,402.00","61,255.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11122023_2.xlsx"
"GOLD","10 Grams","08-DEC-2023","62,174.00","62,207.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_08122023_2.xlsx"
"GOLD","10 Grams","07-DEC-2023","62,108.00","62,283.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_07122023_2.xlsx"
"GOLD","10 Grams","06-DEC-2023","62,038.00","61,985.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06122023_2.xlsx"
"GOLD","10 Grams","05-DEC-2023","62,304.00","62,076.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_05122023_2.xlsx"
"GOLD","10 Grams","04-DEC-2023","63,679.00","63,152.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_04122023_2.xlsx"
"GOLD","10 Grams","01-DEC-2023","62,481.00","62,561.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_01122023_2.xlsx"
"GOLD","10 Grams","30-NOV-2023","62,513.00","62,430.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30112023_2.xlsx"
"GOLD","10 Grams","29-NOV-2023","62,562.00","62,366.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29112023_2.xlsx"
"GOLD","10 Grams","28-NOV-2023","61,662.00","61,651.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28112023_2.xlsx"
"GOLD","10 Grams","24-NOV-2023","61,183.00","61,195.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24112023_2.xlsx"
"GOLD","10 Grams","23-NOV-2023","61,228.00","61,153.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23112023_2.xlsx"
