"SYMBOL  
","QUOTATION VALUE 
","UPDATED DATE 
","SESSION 1 * SPOT PRICE (IN RS.) 
","SESSION 2 * SPOT PRICE (IN RS.) 
","POLLED INFORMATION 
"
"GOLD","10 Grams","31-DEC-2020","49,913.00","49,996.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_31122020_2.xlsx"
"GOLD","10 Grams","30-DEC-2020","49,821.00","49,772.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30122020_2.xlsx"
"GOLD","10 Grams","29-DEC-2020","49,821.00","49,898.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29122020_2.xlsx"
"GOLD","10 Grams","28-DEC-2020","50,175.00","50,003.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28122020_2.xlsx"
"GOLD","10 Grams","24-DEC-2020","49,893.00","49,879.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24122020_2.xlsx"
"GOLD","10 Grams","23-DEC-2020","49,745.00","49,793.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23122020_2.xlsx"
"GOLD","10 Grams","22-DEC-2020","50,102.00","50,043.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22122020_2.xlsx"
"GOLD","10 Grams","21-DEC-2020","50,649.00","50,021.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21122020_2.xlsx"
"GOLD","10 Grams","18-DEC-2020","49,987.00","49,928.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18122020_2.xlsx"
"GOLD","10 Grams","17-DEC-2020","49,637.00","49,832.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17122020_2.xlsx"
"GOLD","10 Grams","16-DEC-2020","49,366.00","49,523.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16122020_2.xlsx"
"GOLD","10 Grams","15-DEC-2020","49,043.00","49,134.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15122020_2.xlsx"
"GOLD","10 Grams","14-DEC-2020","48,862.00","48,721.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_14122020_2.xlsx"
"GOLD","10 Grams","11-DEC-2020","48,916.00","48,949.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11122020_2.xlsx"
