"SYMBOL  
","QUOTATION VALUE 
","UPDATED DATE 
","SESSION 1 * SPOT PRICE (IN RS.) 
","SESSION 2 * SPOT PRICE (IN RS.) 
","POLLED INFORMATION 
"
"GOLD","10 Grams","31-DEC-2021","47,854.00","47,942.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_31122021_2.xlsx"
"GOLD","10 Grams","30-DEC-2021","47,668.00","47,573.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30122021_2.xlsx"
"GOLD","10 Grams","29-DEC-2021","47,906.00","47,840.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29122021_2.xlsx"
"GOLD","10 Grams","28-DEC-2021","48,089.00","48,082.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28122021_2.xlsx"
"GOLD","10 Grams","27-DEC-2021","48,129.00","48,018.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27122021_2.xlsx"
"GOLD","10 Grams","24-DEC-2021","48,116.00","48,142.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24122021_2.xlsx"
"GOLD","10 Grams","23-DEC-2021","48,174.00","48,126.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23122021_2.xlsx"
"GOLD","10 Grams","22-DEC-2021","47,957.00","47,955.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22122021_2.xlsx"
"GOLD","10 Grams","21-DEC-2021","48,031.00","48,094.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21122021_2.xlsx"
"GOLD","10 Grams","20-DEC-2021","48,544.00","48,359.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20122021_2.xlsx"
"GOLD","10 Grams","17-DEC-2021","48,651.00","48,642.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17122021_2.xlsx"
"GOLD","10 Grams","16-DEC-2021","48,235.00","48,197.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16122021_2.xlsx"
"GOLD","10 Grams","15-DEC-2021","47,829.00","47,917.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15122021_2.xlsx"
"GOLD","10 Grams","14-DEC-2021","48,134.00","48,071.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_14122021_2.xlsx"
"GOLD","10 Grams","13-DEC-2021","48,006.00","48,039.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13122021_2.xlsx"
"GOLD","10 Grams","10-DEC-2021","47,661.00","47,657.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10122021_2.xlsx"
"GOLD","10 Grams","09-DEC-2021","47,862.00","47,756.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09122021_2.xlsx"
"GOLD","10 Grams","08-DEC-2021","47,971.00","47,947.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_08122021_2.xlsx"
"GOLD","10 Grams","07-DEC-2021","47,698.00","47,715.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_07122021_2.xlsx"
"GOLD","10 Grams","06-DEC-2021","47,716.00","47,730.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06122021_2.xlsx"
"GOLD","10 Grams","03-DEC-2021","47,383.00","47,406.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_03122021_2.xlsx"
"GOLD","10 Grams","02-DEC-2021","47,478.00","47,397.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_02122021_2.xlsx"
"GOLD","10 Grams","01-DEC-2021","47,664.00","47,623.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_01122021_2.xlsx"
